name;price;description;height;soil;lighting;area;form;decorative;landing
"        Жимолость ""Голубое веретено""";200;Саженцы жимолости съедобной - скороплодный и скороспелый кустарник с высокой зимостойкостью, созревают уже во второй половине июня. Жимолость съедобная достигает до 1,5-2 м высотой с красно-бурыми побегами и компактной густой ветвящейся кроной. На одном месте, она может расти и плодоносить в течение 20- 25 лег. Взрослый куст дает в среднем до 2 кг ягод. Плоды жимолости - крупные ягоды до 2 см длиной и до 1 см в диаметре, тёмно-синие, с сизым налетом. По вкусовым качествам жимолость близка к лесной голубике. Ее цветки и завязь способны выдерживать весенние заморозки до -10 °С.;2м;Неприхотлива;Солнце, полутень;зона 6А;Высокий кустарник;0;0
"        Жимолость ""Синяя птица""";200;Куст сильнорослый, густой, с округлой формой кроны. Побеги бледно-зеленые, короткие. Листья светло-зеленые, удлиненно-овальные. Плоды голубовато-синие, с сильным восковым налетом, удлиненно-овальные, с небольшим валиком у верхушки. Масса плода до 0,87 г. Кожица тонкая, гладкая, мякоть нежная со слабым ароматом и кисло-сладким вкусом. Плодоношение начинается в возрасте 3 – 4 лет и длится 20 – 25 лет. Урожайность 1,0-1,6 с куста. Осыпаемость зрелых ягод средняя.;0,4м;Лёгкие дренированные ;Солнце, полутень;зона 6А;Небольшой кустарник;0;0
"        Жимолость 2-3х летка ""Васюганская""";180;Скелетные ветви поникающие у верхушки.Побеги длинные, тонкие, поникающие, слабо изогнуты у верхушки. Листья крупные, темно-зеленые, удлиненно-овальные, листовая пластинка плоская или слабовыпуклая. Ягоды голубовато-синие, со слабым восковым налетом, цилиндрические, с вытянутым, заостренным основанием и округлой верхушкой, средней величины: масса 1 консистенция мякоти волокнистая.;1м;Неприхотлива;Солнце, полутень;зона 6А;Небольшой кустарник;0;0
"        Жимолость 2-3х летка ""Герда""";180;Куст компактный, средне рослый, с густой округлой формой кроны. Побеги светло-зеленые, короткие, прямые. Листья светло-зеленые, крупные, удлиненно-овальные, тусклые. Плоды голубовато-синие, со слабым восковым налетом, удлиненно-овальные. Масса плода 0,91 г. Кожица тонкая, поверхность гладкая, мякоть нежная. Вкус кисло-сладкий, десертный.;1,5м;Неприхотлива;Солнце, полутень;зона 6А;Небольшой кустарник;0;0
"        Жимолость 2-3х летка ""Томичка""";180;Крона компактная, полураскидистая, сжатая у основания. концы побегов слегка отогнуты книзу. Листья светло-зеленые, с очень легким опушением. Ягоды крупные, массой 1 г и выше, кувшиновидной формы с воронкой на вершине плода и неровной поверхностью - они очень характерны и отличаются от других сортов. Масса ягод не изменяется в зависимости от условий года - они всегда крупные. ;2м;Неприхотлива;Солнце, полутень;зона 6А;Небольшой кустарник;0;0
        Крыжовник;160;"Небольшой кустарник высотой до 1 м, с темно-серой или темно-коричневой корой. На ветвях имеются колючки; листья длиной до 6 см, тускло-зеленого оттенка, короткоопушенные. Листовая пластинка с 3–5 лопастями, с зубчатым краем. Цветки зеленоватые или красноватые, чаще одиночные. Плоды крыжовника – ягоды округлой или овальной формы, с хорошо заметными жилками, голые или щетинистые, в зависимости от сорта, величиной от 12 до 40 мм. Цвет варьируется от зеленого до пурпурного.";1м;Неприхотлива;Солнце;зона 4;Небольшой кустарник;0;0
"        Крыжовник ""Любимец""";160;Кусты слаборослые, редкие, со слабой побеговосстановительной способностью. Нулевые побеги средние по толщине, в нижней части покрыты  сильными  шипами. Верхняя половина побега покрыта редкими шипами или совсем без шипов. Ягоды крупные, овальные, янтарного цвета. Кожица толстая, мякоть сочная, сладкая. ;1м;Неприхотлива;Солнце;зона 4;Небольшой кустарник;0;0
"        Крыжовник 2-х летка ""Уральский безшипый""";200;Крыжовник Уральский бесшипный – потрясающий сорт, который привлекает внимание средним сроком созревания и слабошиповатыми побегами. Очень крупные ягоды, весом до 8 г, с сочной мякотью, кисло-сладкой на вкус. Небольшая осыпаемость. Отличная урожайность – до 6 кг с куста. Вид не боится сильных морозов.;1м;Неприхотлива;Солнце;зона 4;Небольшой кустарник;0;0
"        Крыжовник 2-х летка ""Уральский слабошипый""";200;Крыжовник Уральский бесшипный – потрясающий сорт, который привлекает внимание средним сроком созревания и слабошиповатыми побегами. Очень крупные ягоды, весом до 8 г, с сочной мякотью, кисло-сладкой на вкус. Небольшая осыпаемость. Отличная урожайность – до 6 кг с куста. Вид не боится сильных морозов.;1м;Неприхотлива;Солнце;зона 4;Небольшой кустарник;0;0
"        Малина жёлтая ""Ананасовая""";60;Куст высокий, мощный. Ягоды крупные (при достаточном увлажнении очень крупные), красивой золотисто-жёлтой окраски. Форма ягод коническая, мякоть очень сладкая, ароматная, десертного вкуса. Плодоношение обильное. ;1,5м;Неприхотлива;Солнце;зона 4;Небольшой кустарник;0;0
"        Малина красная ""Зоренька""";50;Побеги высотой 1,6-2 м, с некрупными шипами. Сорт достаточно зимостойкий. Ягоды массой 2,3-4,5 г, плотные, приятного кисло-сладкого вкуса, не спекаются на солнце, транспортабельные, хорошо хранятся. Плодоношение закрытого типа. Кусты нуждаются в хорошем проветривании, удалении лишних  побегов.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
