name;price;description;height;soil;lighting;area;form;decorative;landing
                Айва japonika  20-30;480;Листопадный или полувечнозелёный кустарник, не превышающий 1 м в высоту. Молодые ветки фиолетовые, затем становящиеся чёрно-бурыми, сначала чешуйчато-войлочные, затем бородавчатые или голые. Почки голые, фиолетовые. Листья в очертании обратнояйцевидные или лопатчатые, 3—5 см длиной и 2—3 см шириной, суженные к основанию, с тупозубчатым краем. Черешки голый, около 5 мм длиной. Прилистники фасолевидные, зазубренные. Цветки тёмно-красного цвета.;1м;Неприхотлива;Солнце, полутень;зона 4;Невысокий куст;1;0
                Айва superda Nicoline 30-50;600;"Низкий раскидистый куст с сильными, дугообразно изогнутыми, колючими побегами. Достигает 1м высоты и ширины.
Скорость роста годовой прирост 10см. Цвет листвы листья темно-зеленые, блестящие, при распускании красноватые, яйцевидной формы. Цветы глубокого красного цвета, очень крупные, цветёт обильно.";1м;Неприхотлива;Солнце, полутень;зона 4;Раскидистый кустарник;0;0
                Айва средняя (японская)Grimson and Gold, 30-50;480;Низкий, густой кустарник высотой до 1,2 м. Обильно цветёт в мае-июне тёмно-красными одиночными цветками с яркими, контрастными жёлтыми тычинками. Образует ароматные, съедобные плоды. Рекомендуется для посадок группами, в низких бордюрах, в композициях с хвойными растениями, злаками и многолетними цветами.;1,2м;Неприхотлива;Солнце, полутень;зона 5;Невысокий куст;0;0
                Айва средняя (японская)Grimson and Gold,3-4года;360;Низкий, густой кустарник высотой до 1,2 м. Обильно цветёт в мае-июне тёмно-красными одиночными цветками с яркими, контрастными жёлтыми тычинками. Образует ароматные, съедобные плоды. Рекомендуется для посадок группами, в низких бордюрах, в композициях с хвойными растениями, злаками и многолетними цветами.;1,2м;Неприхотлива;Солнце, полутень;зона 5;Невысокий куст;0;0
                Барбарис ottawensis Silver Miles,  30-50см;480;Мощный раскидистый кустарник высотой до 2,5м. Листья пестрые, пурпурные, с серебристо-серыми пятнами и нерегулярной белой каймой. Осенью листья окрашиваются в яркие, багряные тона. Цветет желто-красными цветками, собранными в большие кистевидные соцветия в мае. Плоды съедобные, ярко-красные ягоды до 0,8 см длины, созревают в конце сентября - начале октября.;3м;Неприхотлива;Солнце, полутень;зона 4;Высокий куст;0;0
                Барбарис ottawensis Silver Miles,  30-50;450;Мощный раскидистый кустарник высотой до 2,5м. Листья пестрые, пурпурные, с серебристо-серыми пятнами и нерегулярной белой каймой. Осенью листья окрашиваются в яркие, багряные тона. Цветет желто-красными цветками, собранными в большие кистевидные соцветия в мае. Плоды съедобные, ярко-красные ягоды до 0,8 см длины, созревают в конце сентября - начале октября.;3м;Неприхотлива;Солнце, полутень;зона 4;Высокий куст;0;0
                Барбарис ottawensis Superba, 20-40;170;Крупный, быстрорастущий садовый кустарник, достигающий 3-4 метров высотой и такой же ширины. Побеги прямые, жесткие, пряморастущие. Побеги покрыты колючими шипами. Растет довольно быстро, по 50-100 см. в год. Листья все лето темно-красного цвета, осенью становятся алые. Цветки невзрачные, мелкие, желтые. Ягоды мелкие, вытянутые, темно-красного цвета, сохраняются на ветвях после опадения листьев.;4м;Неприхотлива;Солнце, полутень;зона 4;Высокий куст;0;0
                Барбарис ottawensis Superba, 30-40;400;Крупный, быстрорастущий садовый кустарник, достигающий 3-4 метров высотой и такой же ширины. Побеги прямые, жесткие, пряморастущие. Побеги покрыты колючими шипами. Растет довольно быстро, по 50-100 см. в год. Листья все лето темно-красного цвета, осенью становятся алые. Цветки невзрачные, мелкие, желтые. Ягоды мелкие, вытянутые, темно-красного цвета, сохраняются на ветвях после опадения листьев.;4м;Неприхотлива;Солнце, полутень;зона 4;Высокий куст;0;0
                Барбарис ottawensis Superba,  50-70см;510;Крупный, быстрорастущий садовый кустарник, достигающий 3-4 метров высотой и такой же ширины. Побеги прямые, жесткие, пряморастущие. Побеги покрыты колючими шипами. Растет довольно быстро, по 50-100 см. в год. Листья все лето темно-красного цвета, осенью становятся алые. Цветки невзрачные, мелкие, желтые. Ягоды мелкие, вытянутые, темно-красного цвета, сохраняются на ветвях после опадения листьев.;4м;Неприхотлива;Солнце, полутень;зона 4;Высокий куст;0;0
                Барбарис ottawensis Superba,  80-100см;550;Крупный, быстрорастущий садовый кустарник, достигающий 3-4 метров высотой и такой же ширины. Побеги прямые, жесткие, пряморастущие. Побеги покрыты колючими шипами. Растет довольно быстро, по 50-100 см. в год. Листья все лето темно-красного цвета, осенью становятся алые. Цветки невзрачные, мелкие, желтые. Ягоды мелкие, вытянутые, темно-красного цвета, сохраняются на ветвях после опадения листьев.;4м;Неприхотлива;Солнце, полутень;зона 4;Высокий куст;0;0
