name;price;description;height;soil;lighting;area;form;decorative;landing
            Можжевельник  pfitzeriana Blue and Gold  20-30;620;Кустарник раскидистой формы. Один из красивейших сортов. Высота 1,5 м, ширина 1,5 м. Местоположение: солнце, полутень. Почва песчаная, известковая, увлажненная. Плохо переносит сухость воздуха. Регулярная весенняя обрезка молодых побегов, способствует формированию более плотной кроны.;1,5м;Песчаная, известковая;Солнце, полутень;зона 5В;Раскидистый кустарник;1;0
            Можжевельник  pfitzeriana Mint Julep 20-40;450;Широкораскидистый кустарник. Высота 1,5 м, диаметр кроны 3 м. Растет быстро. Сохраняет сочно-зеленую окраску хвои зимой. Местоположение: солнце, полутень. Почва: свежая, дренированная, плодородная. Регулярная весенняя обрезка молодых побегов, способствует формированию более плотной кроны.;1,5м;Плодородная ;Солнце, полутень;зона 5А;Раскидистый кустарник;0;0
            Можжевельник  pfitzeriana Pfitzeriana Glauca 20-40;450;Кустарник стелящейся формы. Побеги горизонтальные, легко укореняются. Подходит для озеленения склонов. Высота 0,1 м, диаметр кроны 1,5-2 м. Местоположение: солнце, полутень. Почва: супесчаная, суглинистая, умеренно влажная.;1м;Супесчанная,суглинистая;Солнце, полутень;зона 5А;Раскидистый кустарник;0;0
            Можжевельник chinensis Blaaum 100-125;3100;Медленнорастущий вечнозеленый кустарник, во взрослом состоянии достигает полутора метров в высоту и одного метра в ширину. В юном и молодом возрасте отличается причудливой формой перевернутого конуса, а в более старшем возрасте становится похожим на булаву. Серо-голубая чешуйчатая короткая хвоя у основания ветвей становится игольчатой. Плоды – шишкоягоды.;1,5м;Неприхотлива;Солнце;зона 5А;Раскидистый кустарник;0;0
            Можжевельник chinensis Expansa Aureospicata, С3,  20-40см;640;Стелящаяся форма можжевельника. Крона плотная. В 10 –ти летнем возрасте высота приблизительно 0,3 м, а диамерт кроны около 1,3м. Хвоя сине – зелёная, имеет форму иголок и чешуй. Часть веточек без хлорофилла даёт жёлтые « пятна « , хаотично размещенные на кусте. Требования к почве и влажности невысокие. Для небольших приусадебных , каменистых и « японских » садов.;0,8м;Неприхотлива;Солнце;зона 5А;Раскидистый кустарник;1;0
            Можжевельник chinensis Expansa Variegata 50-70;3850;Низкорослый кустарник с широкой раскидистой кроной, и горизонтальными побегами, часть которых стелется по земле. Высота 30-40 см, ширина кроны до 1,5 м. Ежегодный прирост в ширину 10 см. Предпочитает солнечные места, в тени может редеть крона. ;1,5м;Неприхотлива;Солнце;зона 6А;Раскидистый кустарник;1;0
            Можжевельник chinensis Expansa Variegata, 30/40;620;Низкорослый кустарник с широкой раскидистой кроной, и горизонтальными побегами, часть которых стелется по земле. Высота 30-40 см, ширина кроны до 1,5 м. Ежегодный прирост в ширину 10 см. Предпочитает солнечные места, в тени может редеть крона. ;1,5м;Неприхотлива;Солнце;зона 6А;Раскидистый кустарник;1;0
            Можжевельник chinensis Expansa Variegata, С10,  40-50см;2000;Низкорослый кустарник с широкой раскидистой кроной, и горизонтальными побегами, часть которых стелется по земле. Высота 30-40 см, ширина кроны до 1,5 м. Ежегодный прирост в ширину 10 см. Предпочитает солнечные места, в тени может редеть крона. ;1,5м;Неприхотлива;Солнце;зона 6А;Раскидистый кустарник;1;0
            Можжевельник chinensis Expansa Variegata, С3,  20-40см;570;Низкорослый кустарник с широкой раскидистой кроной, и горизонтальными побегами, часть которых стелется по земле. Высота 30-40 см, ширина кроны до 1,5 м. Ежегодный прирост в ширину 10 см. Предпочитает солнечные места, в тени может редеть крона. ;1,5м;Неприхотлива;Солнце;зона 6А;Раскидистый кустарник;1;0
            Можжевельник chinensis Plumosa Aurea  40-50;1680;Карликовая, кустарниковая форма, достигающая в возрасте 10 лет не более 1 м выс. и такого же диам. В возрасте 40 лет высота 2 м, ширина 3-4 м. Годовой прирост в высоту 5-8 см, в ширину 10 см. Хвоя золотисто-жёлтая, зимой коричнево-жёлтая в виде чешуек, концы побегов слегка свисающие. Можжевельник китайский Плюмоза Ауреа светолюбив, выносит небольшое затенение. Требования к почве и влажности невысокие. Это один из самых красивых жёлтых сортов можжевельника, рекомендуемый для маленьких приусадебных садов, рокариев и смешанных композиций.;2м;Неприхотлива;Солнце, полутень;зона 6А;Раскидистый кустарник;0;0
            Можжевельник chinensis Plumosa Aurea, С5,  40-50см;1600;Карликовая, кустарниковая форма, достигающая в возрасте 10 лет не более 1 м выс. и такого же диам. В возрасте 40 лет высота 2 м, ширина 3-4 м. Годовой прирост в высоту 5-8 см, в ширину 10 см. Хвоя золотисто-жёлтая, зимой коричнево-жёлтая в виде чешуек, концы побегов слегка свисающие. Можжевельник китайский Плюмоза Ауреа светолюбив, выносит небольшое затенение. Требования к почве и влажности невысокие. Это один из самых красивых жёлтых сортов можжевельника, рекомендуемый для маленьких приусадебных садов, рокариев и смешанных композиций.;2м;Неприхотлива;Солнце, полутень;зона 6А;Раскидистый кустарник;0;0
            Можжевельник communis Hibernica 20/40;150;Замечательный хвойный вечнозеленый, очень элегантный кустарник с густой колоновидной кроной. Прямые, плотно прижатые к стволу ветви, направлены вертикально вверх. Высота взрослого растения – 3,5м, диаметр – 1м. Растет сравнительно быстро, а набрав максимальную для сорта высоту, начинает уплотняться и разрастаться в ширину. Хвоя в период вегетации зеленовато-сизая, а зимой темно-зеленая, игольчатая, не колючая.;1м;Неприхотлива;Солнце, полутень;зона 6А;Раскидистый кустарник;0;0
            Можжевельник communis Meyer 20-30;150;Неприхотливый кустарник с широрококолоновидной кроной можно легко узнать по жестким вертикальным побегам с изящно свисающими концами. Высота взрослого растения – 4м, диаметр – 1,5м. Ежегодный прирост составляет примерно 15см в высоту, 5 см в ширину. Хвоя блестящая, колючая, голубовато-зеленая.;4м;Неприхотлива;Солнце;зона 4;Высокий куст;0;0
            Можжевельник communis Meyer 80-100;1400;Неприхотливый кустарник с широрококолоновидной кроной можно легко узнать по жестким вертикальным побегам с изящно свисающими концами. Высота взрослого растения – 4м, диаметр – 1,5м. Ежегодный прирост составляет примерно 15см в высоту, 5 см в ширину. Хвоя блестящая, колючая, голубовато-зеленая.;4м;Неприхотлива;Солнце;зона 4;Высокий куст;0;0
            Можжевельник horizontalis Blue Forest 30/40;550;Можжевельник горизонтальный Блю Форест имеет внешнее сходство с можжевельником Блю Чип, однако этот стелющийся кустарник немного выше (30см) своего собрата. Кроме того, молодые побеги Блю Форест направлены вертикально вверх, они то и создают впечатление кукольного голубого леса. Хвоя чешуйчатая, мелкая, серебристо-голубая. В начале лета, в период активного роста побегов, окрас можжевельника особенно оригинален и ярок. При подготовке к зиме Блю Форест окрашивает свою хвою в фиолетовый цвет. Скорость роста средняя, к 10-ти годам диаметр кроны составляет примерно 1,5м.;0,3м;Неприхотлива;Солнце;зона 4;Раскидистый кустарник;0;0
            Можжевельник horizontalis Glacier  20/30;480;Красивый можжевельник стелющейся формы, медленнорастущий, в 10 лет вырастает до 10см в высоту и в диаметре до 1м. Это один из наиболее ярких голубых сортов. Побеги нежные, валиковидные. Не требователен. Рекомендуется для небольших садов как почвопокровник, для альпинариев и горок, как контейнерное растение.;1м;Неприхотлива;Солнце;зона 4;Раскидистый кустарник;0;0
            Можжевельник horizontalis Prince of Wales 20-30;460;Один из самых популярных почвопокровных вечнозеленых кустарников. Его способность укрывать землю плотным зеленым ковром практически не дает шансов сорнякам, поэтому с помощью этого прекрасного сорта ландшафтные дизайнеры создают целые можжевеловые газоны. Крона стелющаяся яркого зеленого с голубым оттенком цвета к зиме становится бронзовой. Высота – 0,3м, диаметр – 2,5м, растет медленно. Хвоя жесткая чешуйчатая плотно прилегает к побегам. Плоды – темно-синие шишкоягоды около 6мм в диаметре.;0,3м;Неприхотлива;Солнце;зона 5А;Раскидистый кустарник;0;0
            Можжевельник horizontalis Wiltonii 20-40;460;Изумительный высокодекоративный карликовый вечнозеленый кустарник. Стелющаяся форма с горизонтальными плотно растущими молодыми побегами. Прирастает не более 10 см в год. Хвоя очень мелкая игольчатая серебристо-голубая. Вилтони пользуется заслуженной любовью ландшафтных дизайнеров и садоводов за яркую окраску и низкий рост.;0,1м;Неприхотлива;Солнце;зона 3;Раскидистый кустарник;0;0
            Можжевельник Juniperus Blue STAR;800;Крона куполообразная широкая и плотная. Растет очень медленно: скорость роста не превышает 8 см в год. Во взрослом возрасте достигает высоты 1 м и диаметра 2 м. Хвоя короткая, колючая, часть хвои может быть чешуйчатой. Молодые побеги очень ярко окрашены в бирюзовый цвет, вырастая, веточки меняют цвет на сизо-голубой, более спокойный. ;1м;Неприхотлива;Солнце;зона 6А;Раскидистый кустарник;0;0
            Можжевельник Juniperus CHINESIS Blue Alps-7.5;2400;Хвойный вечнозеленый кустарник или небольшое деревце высотой до 4м и до 2м в диаметре с красивой компактной зелено-голубой кроной. Игловидная, грубая, очень колючая хвоя снизу окрашена в сизо-серебристый цвет. Скелетные ветви мощные и сильные, а кончики побегов элегантно опущены вниз. ;2м;Неприхотлива;Солнце;зона 5А;Раскидистый кустарник;0;0
            Можжевельник Juniperus CHINESIS Hetzii;1000;Вечнозеленый раскидистый крупный кустарник в молодости с горизонтальными, с возрастом с приподнятыми скелетными побегами и рыхло-расположенными ветвями. Растет быстро, достигает 3м высотой при таком же диаметре.  Хвоя чешуйчатая, небольшая, серо-голубая. Светолюбив. Нетребователен, растет на всех видах почв.;1м;Неприхотлива;Солнце;зона 5А;Раскидистый кустарник;0;0
            Можжевельник Juniperus CHINESIS Stricta Variegata;800;Крона неправильной живописной формы, коническая, плотная. Ветви приподнятые, равномерно расположенные. Побеги прямые, короткие. Хвоя колючая, сине-зеленая, характерной чертой являются побеги с бело-пестрой окраской. Медленнорастущая форма, в возрасте 10 лет достигает 2 м в высоту и 1,5 м в диаметре, годовой прирост до 10 см. Сорт довольно неприхотлив и морозостоек. Предпочитает солнечные места, в тени может терять насыщенность окраски хвои. ;2м;Неприхотлива;Солнце;зона 5А;Невысокий куст;1;0
            Можжевельник Juniperus HOR Andora Comp1;2100;;2м;Неприхотлива;Солнце;зона 5А;Невысокий куст;0;0
            Можжевельник Juniperus HOR Andora Comp2;3100;;2м;Неприхотлива;Солнце;зона 5А;Невысокий куст;0;0
