name;price;description;height;soil;lighting;area;form;decorative;landing
        Черёмуха Padus Colorata 80-100;560;Дерево среднего размера, выростает до 10 метров высотой и 8 метров шириной. Имеет круглую крону с низкоразветвленными ветвями. Листья у молодого дерева красно-коричневые,позднее корчнево-зеленые, цветки темно-розовые собранные в пучки. Любит влажную перегнойную почву, подходит для посадки у водоёма и открытых газонах.;10м;Перегнойная,влажная;Солнце;зона 3;Декоративное дерево;1;1
        Черёмуха Virginiana Shubert 180-250;4190;Невысокое деревол  с конусовидной кроной и декоративними листьями, которые весной зеленые а летом темно-пурпурные. Цветки белые, многочисленные, собранные в кисти. Плоды мелкие, тёмные.;4-6м;Неприхотлива;Солнце;зона 4;Декоративное дерево;1;1
        Черёмуха декоративная краснолистная;300;Дерево среднего размера,Имеет круглую крону с низкоразветвленными ветвями.Кора матовая, чёрно-серая, молодые ветви оливковые или вишнёво-красные, листья продолговато-эллиптические.;0.6-10м;Перегнойная,влажная;Солнце;зона 3;Декоративное дерево;1;1
        Черёмуха обыкновенная ;400;Дерево среднего размера,Имеет круглую крону с низкоразветвленными ветвями.Кора матовая, чёрно-серая, молодые ветви оливковые или вишнёво-красные, листья продолговато-эллиптические.;0.6-10м;Перегнойная,влажная;Солнце;зона 3;Декоративное дерево;1;1
        Черёмуха обыкновенная 2,5м;1500;Дерево среднего размера,Имеет круглую крону с низкоразветвленными ветвями.Кора матовая, чёрно-серая, молодые ветви оливковые или вишнёво-красные, листья продолговато-эллиптические.;0.6-10м;Перегнойная,влажная;Солнце;зона 3;Декоративное дерево;1;1
        Черёмуха сортовая;200;Дерево среднего размера,Имеет круглую крону с низкоразветвленными ветвями.Кора матовая, чёрно-серая, молодые ветви оливковые или вишнёво-красные, листья продолговато-эллиптические.;0.6-10м;Перегнойная,влажная;Солнце;зона 3;Декоративное дерево;1;1
        Яблоня Adirodack 40-50;1150;Невысокое дерево или кустарник ростом до 5 метров высотой. Крона колоновидная, ветви направленны вертикально вверх, обильно цветет и плодоносит. Плоды многочисленные, мелкие, темно-красные. Сорт усточив к низким температурам.;5м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
        Яблоня Red Jade, 40-80;1270;Небольшое декоративное деревце высотой 2-4 м. Крона  пряморастущая, с плакучими, свисающими ветвями, листья эллиптические, глянцевые, зелёные. бутоны со светло-розовым оттенком, цветение обильное, цветки белые, плоды ярко-красные, не опадающие до декабря.;2-4м;Слабокислые,щелочные почвы;Солнце;зона 4;Небольшое дерево;0;0
        Яблоня Red Jade, С5,  80-120см;2250;Небольшое декоративное деревце высотой 2-4 м. Крона  пряморастущая, с плакучими, свисающими ветвями, листья эллиптические, глянцевые, зелёные. бутоны со светло-розовым оттенком, цветение обильное, цветки белые, плоды ярко-красные, не опадающие до декабря.;2-4м;Слабокислые,щелочные почвы;Солнце;зона 4;Небольшое дерево;0;0
        Яблоня Royal 100/150;2200;Невысокое дерево с широкораскидистыми ветвями, клонящимися к земле. Листья изначально красно-коричневые позднее темно-зеленые. Цветки ярко красные,плоды мелкие, многочисленные.;4м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
        Яблоня Royal Beauty(4-6) 150-200;6360;Невысокое дерево с широкораскидистыми ветвями, клонящимися к земле. Листья изначально красно-коричневые позднее темно-зеленые. Цветки ярко красные,плоды мелкие, многочисленные.;4м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
        Яблоня Winter Gold, С3,  100-160см;1850;Невысокое дерево с широкой кроной ,диаметром 4-6 м, боковые ветки с возрастом живописно свисают, цветки нежно-розовые, плодоносит обильно, плоды желтые, очень долго держатся на дереве.;4м;Неприхотлива;Солнце, полутень;зона 4;Небольшое дерево;0;0
        Яблоня Yellow Syberian, С7,  100-140см;2950;Невысокое дерево, до 4 метров высотой и до 2 метров в диаметре. Цветение очень обильное, цветки белые, душистые. Листья зеленые, глянцевые. Плоды мелкие желтые, долго сохраняются на дереве. Сорт морозостойкий, неприхотливый.;4м;Неприхотлива;Солнце, полутень;зона 4;Небольшое дерево;0;0
        Яблоня дикая 40-50см;350;Невысокое дерево, до 4 метров высотой и до 2 метров в диаметре. Цветение очень обильное, цветки белые, душистые. Листья зеленые, глянцевые. Плоды мелкие желтые, долго сохраняются на дереве. Сорт морозостойкий, неприхотливый.;4м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
        Яблоня краснолистная Malus 3-4года 100-150см;350;Невысокое дерево, до 4 метров высотой и до 2 метров в диаметре. Цветение очень обильное, цветки белые, душистые. Листья зеленые, глянцевые. Плоды мелкие желтые, долго сохраняются на дереве. Сорт морозостойкий, неприхотливый.;4м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
        Яблоня сортовая 80-100см;550;Невысокое дерево, до 4 метров высотой и до 2 метров в диаметре. Цветение очень обильное, цветки белые, душистые. Листья зеленые, глянцевые. Плоды мелкие желтые, долго сохраняются на дереве. Сорт морозостойкий, неприхотливый.;4м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
        Яблоня ягодная 200-250см;2000;Невысокое дерево, до 4 метров высотой и до 2 метров в диаметре. Цветение очень обильное, цветки белые, душистые. Листья зеленые, глянцевые. Плоды мелкие желтые, долго сохраняются на дереве. Сорт морозостойкий, неприхотливый.;4м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
"        Вишня ""Пирамидальная""";200;Деревья среднерослые с пирамидальной, среднезагущенной кроной.  Ветви серые, от­ходят под острым углом от ствола, побеги зеленовато- оливковые. Листья среднего размера ромбовидной формы, цветки белые.;3м;Неприхотлива;Солнце, полутень;зона 5В;Небольшое дерево;0;0
"        Вишня красная ""Войлочная""";300;Небольшое дерево, высотой 1–2,5 м, с многочисленными тонкими ветвями, покрытыми серым войлочным опушением, гофрированными листьями. Плоды мелкие, светло-красные, напоминают вкус черешни.;1–2,5 м;Неприхотлива;Солнце, полутень;зона 5В;Небольшое дерево;0;0
"        Вишня чёрная ""Песчаная""";200;Многоствольное дерево высотой до 1,5 м и более, сильно разветвленное, с поникающими и стелющимися ветвями. Имеет необычные листья, которые совершенно не похожи на листья других видов вишни. Они кожистые, продолговато-овальные, узкие,серовато-зеленой окраски с блеском сверху и светло-зеленые снизу.Цветки бело-розовые собранные в венчик.Сохраняет листву до поздней осени.;1,5м;Неприхотлива;Солнце, полутень;зона 5В;Небольшое дерево;1;0
