name;price;description;height;soil;lighting;area;form;decorative;landing
        Береза pendula Golden Gloud Pa,   С10,  100-140см;2310;Отличается необычным цветом листвы и ажурной кроной. Узкое дерево с конической кроной, веточки бородавчатые, кора ствола и веток гладкая, ярко-белая, отшелушивается. Дерево высотой до 8 м, диаметр кроны до 6 м. Крона раскидистая, ажурная. Растет медленно. Листья яркие, лимонно-желтые в течение всего сезона, зубчатой и ромбовидной формы, при распускании с персиково-оранжевым оттенком.;10м;Суглинистые,супесчаные;Солнце, полутень;зона 2;Декоративное дерево;1;0
        Береза pendula Purpurea Pa,   С5,  110-140см;1840;Небольшое узкое прямое дерево высотой 10 - 15 м, шириной 4 - 5 м. Листья треугольные, при распускании тёмно-красные, позднее тёмно-пурпурные, осенью бронзовые, коричнево-красные или светло красные. Желтовато-зеленые сережки, плод - продолговато-эллиптический крылатый орешек.;15м;Неприхотлива;Солнце, полутень;зона 2;Декоративное дерево;1;0
        Береза pendula Purpurea Pa,  60-100;900;Небольшое узкое прямое дерево высотой 10 - 15 м, шириной 4 - 5 м. Листья треугольные, при распускании тёмно-красные, позднее тёмно-пурпурные, осенью бронзовые, коричнево-красные или светло красные. Желтовато-зеленые сережки, плод - продолговато-эллиптический крылатый орешек.;15м;Неприхотлива;Солнце, полутень;зона 2;Декоративное дерево;1;0
        Береза pendula Younhgii Pa  200-250;3850;Маленькое штамбовое дерево, живописное, медленнорастущее, с зонтикообразной, плакучей кроной, высотой до 5 м и шириной до 3 – 4 м, кора белая, гладкая, имеются редкие черные трещины, побеги гибкие. Ветки голые, покрыты многочисленными густорассыпчатыми смолистыми желёзками. Крона ветвистая, но не густая. Листочки светло-зеленые, меньше, чем у видового растения, заостренные, треугольные, от ромбически-яйцевидных до треугольно-яйцевидных, гладкие.;5м;Неприхотлива;Солнце;зона 2;Небольшое дерево;1;0
        Береза pendula Younhgii Pa 175-200;3200;Маленькое штамбовое дерево, живописное, медленнорастущее, с зонтикообразной, плакучей кроной, высотой до 5 м и шириной до 3 – 4 м, кора белая, гладкая, имеются редкие черные трещины, побеги гибкие. Ветки голые, покрыты многочисленными густорассыпчатыми смолистыми желёзками. Крона ветвистая, но не густая. Листочки светло-зеленые, меньше, чем у видового растения, заостренные, треугольные, от ромбически-яйцевидных до треугольно-яйцевидных, гладкие.;5м;Неприхотлива;Солнце;зона 2;Небольшое дерево;1;0
        Береза обыкновенная сибирская (сеянцы) 2м.;350;Крона широкая, часто со свисающими концами ветвей. У молодых деревьев кора ствола тонкая, гладкая, с бронзово-медным оттенком, у старых (береза живет 120-150 лет) нижняя часть ствола покрыта толстой коркой с глубокими черноватыми трещинами, а верхняя – белой, гладкой листовидной берестой.;45м;Неприхотлива;Солнце;зона 2;Высокое дерево;0;0
        Береза пушистая Aurea Pa 1,5-2м;1970;"Дерево до 15 м высотой, с чисто-белым стволом, не образующим в основании темную корку; с широковетвистой, яйцевидной кроной, образованной вверх направленными ветвями. Кора молодых ветвей гладкая, красновато-бурая, позже чисто-белая. Молодые побеги пушистые. Листья блестящие золотисто-желтые. Желтые сережки 5 см длиной. Плоды - крылатки.";15м;Неприхотлива;Солнце;зона 2;Декоративное дерево;0;0
        Боярышник media Paul s Scarlet 40-60;1200;Небольшое дерево высотой 3-6 м. Крона раскидистая, ассиметричная. Побеги колючие. Листья рано распускающиеся, крупные, обратно- яйцевидные, трех- или пяти-лопастные, темно-зеленые,  глянцевые. Цветет в мае. Цветки яркие, в крупных зонтиковидных соцветиях,   карминово-красного цвета,  махровые.  Плодов не образует.  Особенно популярен  в штамбовой форме,   используется  в одиночных посадках на переднем плане, в группах. Светолюбив, морозостоек.;6м;Неприхотлива;Солнце;зона 5;Небольшое дерево;0;0
        Боярышник media Paul s Scarlet 60-80;1280;Небольшое дерево высотой 3-6 м. Крона раскидистая, ассиметричная. Побеги колючие. Листья рано распускающиеся, крупные, обратно- яйцевидные, трех- или пяти-лопастные, темно-зеленые,  глянцевые. Цветет в мае. Цветки яркие, в крупных зонтиковидных соцветиях,   карминово-красного цвета,  махровые.  Плодов не образует.  Особенно популярен  в штамбовой форме,   используется  в одиночных посадках на переднем плане, в группах. Светолюбив, морозостоек.;6м;Неприхотлива;Солнце;зона 5;Небольшое дерево;0;0
        Боярышник media Paul s Scarlet 80-100;1420;Небольшое дерево высотой 3-6 м. Крона раскидистая, ассиметричная. Побеги колючие. Листья рано распускающиеся, крупные, обратно- яйцевидные, трех- или пяти-лопастные, темно-зеленые,  глянцевые. Цветет в мае. Цветки яркие, в крупных зонтиковидных соцветиях,   карминово-красного цвета,  махровые.  Плодов не образует.  Особенно популярен  в штамбовой форме,   используется  в одиночных посадках на переднем плане, в группах. Светолюбив, морозостоек.;6м;Неприхотлива;Солнце;зона 5;Небольшое дерево;0;0
