name;price;description;height;soil;lighting;area;form;decorative;landing
            Ель Abies Aurea Magnifica  90-110;6500;Крупное дерево с правильной ширококонусовидной кроной, достигает в высоту до 18-20 метров. Хвоя длинная, мягкая, густорасположенная, весной молодые приросты светло-желтые, летом светло-зелёные, зимой ярко-жёлтые.;20м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
            Ель Abies Ecyiniformis 20-30;1150;Вечнозеленый кустарник с подушковидной густой кроной. Медленнорастущее. Очертания кроны иногда принимют самые причудливые формы. Хвоя 0,5-1см серо-зеленая блестящая заостренная на сравнительно толстых светло-коричневых побегах. Ель морозостойка и теневынослива. Однако густая плотная крона обычно развивается на хорошо освещенных участках. ;1м;Слабокислые, влажные;Солнце, полутень;зона 4;Невысокий куст;0;0
            Ель Abies Konca 40-60;2400;Дерево с регулярной конусовидной кроной до 10 м в высоту. Хвоя короткая ярко-желтая. Неприхотлива, не переносит засухи. Зимостойкая.;10м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;1;0
            Ель Abies Litle Gem 20-25;800;Карликовая форма кустарника с округлой или подушковидной кроной. Высота взрослого растения до 0,5 м, диаметр кроны до 1 м. Хвоя светло-зелёная, очень густая, короткая, длинной всего 2-5 мм. Медленнорастущая. Ветви с середины растения косо поднимаются вверх. ;0,5м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Ель Abies Nidiformis 25-35;1300;Карликовый гнездовидный кустарник, молодые растения имеют характерное углубление посредине. Высота 0,4 метра, диаметром до 2 метров. Побеги тонкие, хвоя короткая светло- зеленого цвета. ;0,4м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Ель Engelmanni Glauga 20-40;1850;Высокое дерево с правильной кроной и длинными поникшими ветвями, высотой до 7-8 м. Быстрорастущее. Хвоя ярко- голубого  цвета с серым оттенком. Сорт морозостоек, но нетерпим к засухе.;8м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;1;0
            Ель Glauca Alberta Globe 15-20;580;Карликавая форма кустарника с шаровидной кроной. Побеги тонкие, короткие, хвоя зеленая. Высотой до 0,4 метров при диаметре 0,3 метра.;0,3м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Ель Glauca Alberta Globe 20-30;1700;Карликавая форма кустарника с шаровидной кроной. Побеги тонкие, короткие, хвоя зеленая. Высотой до 0,4 метров при диаметре 0,3 метра.;0,3м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Ель Glauca Conica  40-50;1860;Карликовая форма кустарника с четко выраженной конусообразной кроной. Высотой до 1 метра и диаметром 0,7 метра. Побеги тонкие, мощные. Хвоя короткая светло-зеленая. Подвержена повреждению сосновым паутинным клещем.;1м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Ель Glauca Conica,  90-100;620;Карликовая форма кустарника с четко выраженной конусообразной кроной. Высотой до 1 метра и диаметром 0,7 метра. Побеги тонкие, мощные. Хвоя короткая светло-зеленая. Подвержена повреждению сосновым паутинным клещем.;1м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Ель Glauca Conica,  С15,  80-90см;2300;Карликовая форма кустарника с четко выраженной конусообразной кроной. Высотой до 1 метра и диаметром 0,7 метра. Побеги тонкие, мощные. Хвоя короткая светло-зеленая. Подвержена повреждению сосновым паутинным клещем.;1м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Ель Glauca Conica,  С2/3,  40-50см;740;Карликовая форма кустарника с четко выраженной конусообразной кроной. Высотой до 1 метра и диаметром 0,7 метра. Побеги тонкие, мощные. Хвоя короткая светло-зеленая. Подвержена повреждению сосновым паутинным клещем.;1м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Ель Glauca Conica,  С5,  50-60см;1400;Карликовая форма кустарника с четко выраженной конусообразной кроной. Высотой до 1 метра и диаметром 0,7 метра. Побеги тонкие, мощные. Хвоя короткая светло-зеленая. Подвержена повреждению сосновым паутинным клещем.;1м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
