name;price;description;cycle;lighting;form;watering
"        Астра кустовая ""Mariore"", 2л, 30-50см";300;Многолетник высотой до 30 см, диаметром до 40 см. (самый низкорослый сорт кустовой астры). Многочисленные соцветия - корзинки со светло-розовыми или розово-лиловыми цветками. Цветет с августа по сентябрь.;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
"        Астра кустовая ""Ronald"", 2л, 30-50см";300;Растение с прямостоячими, сильно ветвистыми, опушенными стеблями,образующими почти полушаровидные кустики. Высотой до 30 см. Листья сидячие, ланцетные, темно-зеленые, цельнокрайные, многочисленные. Соцветия до 3 см в диаметре, собраны в рыхлые щитки, язычковые цветки ярко-розовые.;Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
"        Астра кустовая ""Weiss"", 2л, 30-50см";300;Многолетник высотой до 50 см, диаметром до 40 см. Многочисленные соцветия - корзинки с белыми цветками. Цветет с августа по сентябрь.;Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
"        Астра ново-бельгийская ""Nansy Ballard"", 2л, 90-100см";250;Корневищный многолетник, растущий в виде куста обратнопирамидальной формы. Высотой от 50 см до 150 см. Кусты густооблиственные. Листья линейно-ланцетные с тупыми основаниями, очередные, сидячие.Многочисленные соцветия - корзинки, чаще всего лиловые. ;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Брунелла;180;Темно-голубые цветки с белым глазком, до 0,5 см в диаметре, собраны в сложные метельчатые соцветия, возвышающиеся над листьями. Цветет в мае — июне 25 дней.;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Василёк крупноголовый, Р9, 100-120см;160;Самый крупный из семейства васильков. Их бутоны с куриное яйцо, из них образуются яркие желтые пушистые цветки. Высота растения – около метра. ;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Василёк подбеленный, Р9, 40-60см;160;Подбеленный василек получил свое название благодаря оригинальной окраске листьев ( снизу беловато-опушенные). В высоту достигает до 80 см. Цветки ярко-розовые с белой серединкой.;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
"        Гайлардия остистая ""Kobold"", Р9, 60см";160;Высота до 60 см.Окраска листвы зеленая опушенные, ланцетные. Язычковые цветки желтые с красными кончиками, корзинки крупные, до 10 см в диаметре. Цветение обильное и продолжительное, до 60 дней, в июне — августе.;Многолетник ;Солнце;Кустовой многолетник;умеренный полив
        Гвоздика травянка,  2л;140;Гвоздики образует низкий плотный покров над почвой. Он состоит из тоненьких побегов, которые покрыты маленькими тонкими зелёными листьями. Множество одиночных миниатюрных цветков распускаются в июне на прочных цветоносах. Цветето  до августа. ;Многолетник ;Солнце;Травянистый многолетник;умеренный полив
        Гвоздика,  Р9;50;Стебли простые или ветвистые, прямостоячие. Листья сидячие, линейные, желобчатые, зеленые, темно-зеленые, красноватые или сизые. Цветки одиночные, или собраны в метельчатые или щитковидные соцветия, розовые, сиреневые, иногда белые.;Многолетник ;Солнце;Кустовой многолетник;умеренный полив
        Герань,  2л;160;Куст в форме розетки с разветвленными, до 60 см стеблями, с округлыми, черешковыми листьями, которые, в зависимости от вида, разнообразны и по форме и по цвету. Цветки растения собранные в соцветия, имеющие пять лепестков в форме блюдца. К осени созревают семена, которые выстреливают вверх, тем самым самозасеиваются.;Многолетник ;Солнце;Кустовой многолетник;умеренный полив
        Дельфиниум (сеянцы,сорта), Р9, 100см;170;Высота стеблей варьируется от 10 см у обитателей альпийских лугов до 3 м у лесных видов. Строение листьев трех, пяти или семираздельное, иногда многократно перистораздельное, с отдельными черешковыми долями. Цветок дельфиниума простой, с пятью окрашенными чашелистиками, на верхнем – имеется шпорец, называемый глазком, с двумя нектарниками и маленькими лепестками.;Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
        Ирис болотный (жёлтый),  2л;180;Прекрасное растение для оформления пруда или небольшого водоёма. Цветок относится к многолетним растениям, в высоту достигает от 60 до 180 см. Цветение начинается в конце июня или начале июля. Цветы  болотного  ириса имеют жёлтый или синий окрас.;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Ирис бородатый,  2л, 60-80см;130;Бородатые ирисы любят тепло и свет. В тени они будут расти, но обильным цветением не порадуют. Не любят бородатые ирисы мест открытых, не защищенных от сильных ветров. Плохо переносят тяжелые глинистые и кислые почвы. Для комфортного развития и цветения растениям необходимы дренаж, раскисленная почва с внесением в почву песка.;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Ирис карликовый, Р9;180;Многолетнее растение высотой от 10 до 15 см. Корневище разветвлённое шириной до 1 см, дающие побеги. Стебель практически отсутствует, все листья прикорневые, немного сизоватые, длинно-ланцетные, длиной от 8 до 16 см, шириной около 1 см. Цветки одиночные, синие, лиловые или жёлтые, с узкими, на верхушке перепончатыми листочками.;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Ирис сибирский (синий),  2л;180;Травянистое многолетнее растение, достигающее высоты 70—110 см. Листья линейные, зелёные, не жёсткие.Цветки  фиолетово-синие, часто с бледно-молочным или желтоватым центром.;Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
        Колокольчик, Р9;70;Венчик по большей части явственно колокольчатый, голубой или фиолетовый разных оттенков, порой лиловый, изредка белый. Соцветия обычно метельчатые или кистевидные, редко одноцветковые. Коробчатый плод раскрывается четырьмя -шестью щелевидными отверстиями.;Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
        Ленок(голубой), Р9;60;Куст высотой 60—80 см. Соцветия небольшие, золотисто-желтые с темно-коричневыми кружками в середине. На них образуются полумахровые соцветия со скрученными лепестками язычковых цветков. ;Однолетник;Солнце,полутень;Кустовой однолетник;умеренный полив
        Лилейник,  2л;250;Многолетние травянистые корневищные растения. Корни шнуровидные, часто мясистые, утолщённые, иногда образуют столоны. Листья двурядные, широколинейные, цельнокрайние, прямые или дуговидно изогнутые. Цветки крупные, в основном жёлтые, оранжевые, розовые.;Многолетник ;Солнце;Травянистый многолетник;умеренный полив
        Лилия (40сортов), (от80до 150руб), Р9, 40-120см;100;Стебель является луковицы. Листья расположенны спиралью и изредка кружками, почти всегда сидячие.  В углу последнего низового листа образуется почка, которая, постепенно разрастаясь, превращается в молодую луковицу. Цвета уветков разнообразные.;Многолетник ;Солнце;Травянистый многолетник;умеренный полив
        Лихнис корончатый,  Р9;140;"Многолетнее травянистое растение, покрытое густым мягким беловатым опушением. Стебли прямостоячие, ветвящиеся, в основании часто деревянистые, достигающие до 1 метра в высоту. Прикорневые листья обратноланцетовидные, заострённы
с обеих сторон, покрытые шелковистым серовато-белым опушением. Цветки собраны в соцветия на верхушке побега. Цветки филетового цвета.";Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
        Лихнис халцедонский,  2л,  80см;150;"Многолетнее травянистое растение, покрытое густым мягким беловатым опушением. Стебли прямостоячие, ветвящиеся, в основании часто деревянистые, достигающие до 1 метра в высоту. Прикорневые листья обратноланцетовидные, заострённы
с обеих сторон, покрытые шелковистым серовато-белым опушением. Цветки собраны в соцветия на верхушке побега. Цветки филетового цвета.";Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
        Лихнис халцедонский,  Р9;100;"Многолетнее травянистое растение, покрытое густым мягким беловатым опушением. Стебли прямостоячие, ветвящиеся, в основании часто деревянистые, достигающие до 1 метра в высоту. Прикорневые листья обратноланцетовидные, заострённы
с обеих сторон, покрытые шелковистым серовато-белым опушением. Цветки собраны в соцветия на верхушке побега. Цветки филетового цвета.";Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
        Люпин;100;Стебли травянистые. Ветви прямостоящие, оттопыренные или стелющиеся. Листья очерёдные, пальчато-сложные, на длинных черешках.  Цветки расположены очерёдно собранные в кисть, обычно синего цвета.;Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
        Маргаритка красная,  2л;100;Многолетнее травянистое растениедостигает в высоту 10—30 см. Листья продолговато-яйцевидные, образуют прикорневую розетку. Стебель безлистный. Цветки  белого, розового или красного цвета. Цветёт весной, в начале лета и иногда на протяжении всего лета и осени.;Многолетник ;Солнце;Травянистый многолетник;умеренный полив
        Медуница сахарная, Р9;180;Многолетние травянистые растения высотой не более нескольких десятков сантиметров. Корневище ползучееветвистое. Листья цельные, овальные или ланцетовидные, заострённые на верхушке. Цветки белой, розовой, голубой, синей, лиловой цветовой гаммы.;Многолетник ;Солнце;Травянистый многолетник;умеренный полив
        Мелколепестник,  2л;110;"Многолетние корневищные, реже однолетние или двулетние, травянистые растения, иногда полукустарники, похожи на многолетние астры, от которых отличаются опушенными семенами. Стебли прямые, маловетвистые, прямостоячие.
Прикорневые листья собраны в розетку. Цветки язычковые в 1-3 ряда, розовые, фиолетовые, пурпурные, белые, кремовые или лиловые.

";Многолетник ;Солнце;Травянистый многолетник;умеренный полив
        Очиток видный,  2л;150;Многолетнее растение с клубневидно-утолщёнными корнями и прямостоячими, сочными стеблями. Листья крупные, овальные, плоские, у природных растений сизовато-зелёные, по 3-4 шт в мутовках. Цветки розово-сиреневые, пурпурно-карминовые или белые, собранные в крупные полузонтики до 20 см в поперечнике. ;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Пион Barbara,  3л, 100см;850;Махровый, анемоновидный, молочноцветковый пион. Ярко-розовые лепестки образуют махровые соцветия корончатой формы. Они кажутся еще более яркими и выразительными на фоне зеленых листьев. Характеризуется этот пион средним сроком цветения.  Высота 80 см. ;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Пион Majowa  3л, 80-120см;850;Описание отсутствует...;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Пион Sarah Bemhardt,  3л, 100-120см;850;Многолетнее, травянистое растение. Высота растения 90-110 см. Пышная темно-зеленая листва сохраняется до поздней осени. Бутон густомахровый, розовидной формы, розово-сиреневого цвета, края лепестков светло-розовые. Диаметр цветка 20 см. Запах очень приятный. Среднепоздний срок цветения. ;Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
        Пион розовый,  3л, 100-120см;350;Cорт с плотными, полумахровыми цветами красивого сложения, диаметром до 17 см, перламутрово-розового цвета. Сложен  цветок из правильно расположенных вогнутых лепестков, как из чешуек. Цветоносы розового пиона очень устойчивы и не требуют опоры, благодаря чему куст сохраняет свою форму и не разрушается под весом крупных цветков. Ажурная пышная листва сохраняется до поздней осени, становясь из темно-зеленой багряной.;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Ромашка (сиреневая), Р9;30;Многолетнее растение. Цветет с июня по июль. Цветы большие, сиреневой окраски. Растение морозоустойчивое, зимостойкое и засухоустойчивое. Требует регулярных поливов, особенно в жаркую сухую погоду, но не выносит переувлажнения с застаиванием воды. На одном месте кусты ромашки более 4—5 лет держать не следует, ибо крупные корневища и корни поглощают много питательных веществ из почвы и сильно истощают ее;Многолетник ;Солнце,полутень;Кустовой многолетник;регулярный полив
        Рудбекия Золотой шар. 2л, 70см ;160;Высокорослое, до двух метров, неприхотливое, обильно цветущее  многолетнее растение. Зацветает в июле. Цветы – желтые,  диаметр каждого цветка около 10 см. ;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
"        Сидальцея орегана ""Бриллиант"", Р9, 65-75см";160;Прямостоячее растение с редким ветвлением, образует заросли. Листья блестящие, зелёные, пальчатые, очерёдные. Относительно крупные цветки, похожие на цветки мальвы, собраны в верхушечный колос. Высота 60-100 см. Цветки карминово-красные, розовые, нежно-розовые. Период цветения с июля по сентябрь. ;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
