name;price;description;cycle;lighting;form;watering
        Живучка, Р9;150;Кистекорневой многолетник со стелющимися и укореняющимися побегами, стебель высотой 10—25 см, с мягкими спутанными волосками. Листья прикорневой розетки сужены в длинный черешок. Прицветные листья цельные, у основания часто синеватые. Цветки синие или голубые, снаружи опушенные.;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Земляника садовая (сорта) (клубника Виктория), 20см;30;Травянистый многолетник, невысокий, до 10 см, растене с сильно разветвленной, мочковатой корневой системой, с тройчатыми листьями, которые собраны в виде розетки на коротком стебле и ярко-красными, сочными, съедобными ягодами. Растению необходимы хорошо защищенные от сквозняков, солнечные места на плодородных, богатых органикой, умеренно-влажных землях, а также регулярный полив.;Многолетник ;Солнце,полутень;Кустовой многолетник;регулярный полив
        Молодило Othello,  Р9,  15см;130;Очень крупная розетка листьев, до 12 см в диаметре, рубиново-красная, с зеленоватыми кончиками.Цветы розовые. Как и все молодила, предпочитает бедные, хорошо дренированые почвы, прекрасно растет на камнях, в местах с малым слоем грунта, в том числе и в контейнерах. Совершенно не переносит замокания. В поливе и подкормках не нуждается. Материнские розетки после цветения погибают, оставляя многочисленное вегетативное потомство.;Многолетник ;Солнце;Почвопокровный многолетник;редкий полив
        Молодило Pruchonice,  Р9,  10-30см;130;Травянистый многолетник, размером 20см, диаметр 5см. Розетки ярко-зеленые, некрупные, опушенные. Цветы розовые, звездчатые. Период цветения май-август.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
        Молодило Red Papaver,  Р9,  10-30см;130;Розетки среднего размера, красно-оранжевые с зеленым основанием. Стеблевые листья продолговатые сидячие заостренные ярко фиолетового цвета. Розетки опутаны мелкими светлыми волосками, похожими на паутину. Период цветения июль-август.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
        Молодило Rote Oktober,  Р9,  10-30см;140;Розетки среднего размера. Стеблевые листья продолговатые сидячие заостренные. Розетки опутаны мелкими светлыми волосками, похожими на паутину. Период цветения июль-август.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
        Молодило Rubicundum,  Р9,  10-30см;130;Многолетнее травянистое растение, образует прикорневые розетки диаметром до 15 см и высотой до 5 см. Листья мясистые, яйцевидно-ланцетные, заостренные, темно-бордовые с зеленой полосой по краю. Цветоносы, выходящие из розеток, густо опушенные, облиственные, до 30 см высотой. Цветки звездчатые, темно-розовые, собраны в щитковидные соцветия. Цветет в июле-августе.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
        Молодило Rubin,  Р9,  10-30см;130;Размер 10 - 20 см. Розетки ярко-красные. Цветки розовые, звездчатые. Почва для посадки сухая, хорошо дренированная, известковая. Период цветения май-июль.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
        Молодило гибридное,  Р9,  10-30см;130;Розетки крупные, до 15 см в диаметре, коричневато-фиолетовые.  Цветки звездчатые, розово-красные, собраны в щитковидные соцветия. Цветет в июле-августе.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
        Молодило горное,  Р9,  15см;150;Крупные, до 15см в диаметре, правильной полусферической формы розетки. Листья вытянутые заостренные, с бежевым основанием и интенсивной бордовой окраской верхней части.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
        Молодило отпрысковое,  Р9,  10-30см;130;Многолетник, формирующий дерновинки из многочисленных розеток прикорневых листьев. Розетки диаметром 2 - 3 см, плотные, почти шаровидные, листья размером около 1 см, мясистые, серповидно изогнутые к верхушке, обычно светло-зеленые, лепестки соцветий бахромчатые, зеленовато-желтые. Цветет в июле-августе 35 - 40 дней.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
        Молодило паутинное Alabaster  Р9,  15см;140;Многолетнее травянистое растение, образует мелкие плоско-шаровидные розетки. Листья почти овальной формы, всегда заканчивающиеся острой верхушкой, гладкие, нижняя часть красноватая, верхняя серо-зеленая. Розетки листьев опутаны тонкими белыми волосками, похожими на паутину. Цветы звездчатые, белые, собраны в щитковидные соцветия. Период цветения июнь-июль. Лучше всего растет и цветет на солнечных местах или в небольшой полутени. Хорошо растет на супесчаной или песчаной почве, достаточно дренированной, не переносит длительный застой влаги или заболачивание. ;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
        Молодило реснитчатое Borisii,  Р9,  10-30см;130;Почвопокровное растение с декоративными листьями, собранными в прикорневые розетки. Высота 8 – 10 см. Розетки средней величины, шаровидные, серо-зеленые, листья покрыты серым опушением. На цветоносах образуются несколько десятков цветов.  ;Многолетник ;Солнце,полутень;Почвопокровный многолетник;редкий полив
