id;product_name;cat_name;num;path;img;exp
283;Можжевельник pfitzeriana Blue and Gold 20-30;Хвойные;13;bush_nidells/;13;.jpg
284;Можжевельник pfitzeriana Mint Julep 20-40;Хвойные;14;bush_nidells/;14;.jpg
285;Можжевельник pfitzeriana Pfitzeriana Glauca 20-40;Хвойные;15;bush_nidells/;15;.jpg
286;Можжевельник chinensis Blaaum 100-125;Хвойные;16;bush_nidells/;16;.jpg
287;Можжевельник chinensis Expansa Aureospicata, С3, 20-40см;Хвойные;17;bush_nidells/;17;.jpg
288;Можжевельник chinensis Expansa Variegata 50-70;Хвойные;18;bush_nidells/;18-21;.jpg
289;Можжевельник chinensis Expansa Variegata, 30/40;Хвойные;19;bush_nidells/;18-21;.jpg
290;Можжевельник chinensis Expansa Variegata, С10, 40-50см;Хвойные;20;bush_nidells/;18-21;.jpg
291;Можжевельник chinensis Expansa Variegata, С3, 20-40см;Хвойные;21;bush_nidells/;18-21;.jpg
292;Можжевельник chinensis Plumosa Aurea 40-50;Хвойные;22;bush_nidells/;22-23;.jpg
293;Можжевельник chinensis Plumosa Aurea, С5, 40-50см;Хвойные;23;bush_nidells/;22-23;.jpg
294;Можжевельник communis Hibernica 20/40;Хвойные;24;bush_nidells/;24;.jpg
295;Можжевельник communis Meyer 20-30;Хвойные;25;bush_nidells/;25-26;.jpg
296;Можжевельник communis Meyer 80-100;Хвойные;26;bush_nidells/;25-26;.jpg
297;Можжевельник horizontalis Blue Forest 30/40;Хвойные;27;bush_nidells/;27;.jpg
298;Можжевельник horizontalis Glacier 20/30;Хвойные;28;bush_nidells/;28;.jpg
299;Можжевельник horizontalis Prince of Wales 20-30;Хвойные;29;bush_nidells/;29;.jpg
300;Можжевельник horizontalis Wiltonii 20-40;Хвойные;30;bush_nidells/;30;.jpg
301;Можжевельник Juniperus Blue STAR;Хвойные;31;bush_nidells/;31;.jpg
302;Можжевельник Juniperus CHINESIS Blue Alps-7.5;Хвойные;32;bush_nidells/;32;.jpg
303;Можжевельник Juniperus CHINESIS Hetzii;Хвойные;33;bush_nidells/;33;.jpg
304;Можжевельник Juniperus CHINESIS Stricta Variegata;Хвойные;34;bush_nidells/;34;.jpg
305;Можжевельник Juniperus HOR Andora Comp1;Хвойные;35;bush_nidells/;35-36;.jpg
306;Можжевельник Juniperus HOR Andora Comp2;Хвойные;36;bush_nidells/;35-36;.jpg
307;Можжевельник Juniperus MEDIA Hetzi;Хвойные;37;bush_nidells/;37;.jpg
308;Можжевельник Juniperus SQUMATA BLUE CARPET1;Хвойные;38;bush_nidells/;38-39;.jpg
309;Можжевельник Juniperus SQUMATA BLUE CARPET2;Хвойные;39;bush_nidells/;38-39;.jpg
310;Можжевельник Juniperus SQUMATA MAYER;Хвойные;40;bush_nidells/;40;.jpg
311;Можжевельник Juniperus VIRGINIANA Hetz;Хвойные;41;bush_nidells/;41;.jpg
312;Можжевельник pfitzeriana Blue and Gold, С3, 20-30см;Хвойные;42;bush_nidells/;42;.jpg
313;Можжевельник pfitzeriana Pfitzeriana Aurea, С10, 40-60см;Хвойные;43;bush_nidells/;43-46;.jpg
314;Можжевельник pfitzeriana Pfitzeriana Aurea, С3, 40-60см;Хвойные;44;bush_nidells/;43-46;.jpg
315;Можжевельник pfitzeriana Pfitzeriana Glauca, С10, 40-60см;Хвойные;45;bush_nidells/;43-46;.jpg
316;Можжевельник pfitzeriana Pfitzeriana Glauca, С3, 20-40см;Хвойные;46;bush_nidells/;43-46;.jpg
317;Можжевельник sabina Blue Danube 20-30;Хвойные;47;bush_nidells/;47-49;.jpg
318;Можжевельник sabina Blue Danube 60-80;Хвойные;48;bush_nidells/;47-49;.jpg
319;Можжевельник sabina Blue Danube 90-100;Хвойные;49;bush_nidells/;47-49;.jpg
320;Можжевельник sabina Glauca, 20-30;Хвойные;50;bush_nidells/;50-52;.jpg
321;Можжевельник sabina Glauca, 15-25;Хвойные;51;bush_nidells/;50-52;.jpg
322;Можжевельник sabina Glauca, 40-60;Хвойные;52;bush_nidells/;50-52;.jpg
323;Можжевельник sabina Mas 20-40;Хвойные;53;bush_nidells/;53-54;.jpg
324;Можжевельник sabina Mas 50-70;Хвойные;54;bush_nidells/;53-54;.jpg
325;Можжевельник sabina Rockery Gem 20/30;Хвойные;55;bush_nidells/;55;.jpg
326;Можжевельник sabina Tamariscifolia;Хвойные;56;bush_nidells/;56-59;.jpg
327;Можжевельник sabina Tamariscifolia 10/20;Хвойные;57;bush_nidells/;56-59;.jpg
328;Можжевельник sabina Tamariscifolia 20-30;Хвойные;58;bush_nidells/;56-59;.jpg
329;Можжевельник sabina Tamariscifolia 30-40;Хвойные;59;bush_nidells/;56-59;.jpg
330;Можжевельник scopulorum Blue Arrow 40-60;Хвойные;60;bush_nidells/;60;.jpg
331;Можжевельник scopulorum Blue Swede 20-40;Хвойные;61;bush_nidells/;61;.jpg
332;Можжевельник virginiana Grey Owl 40/60;Хвойные;62;bush_nidells/;62;.jpg
333;Можжевельник virginiana Hetz 20-40;Хвойные;63;bush_nidells/;63;.jpg
334;Можжевельник x media Mint Julep 80-100;Хвойные;64;bush_nidells/;64;.jpg
335;Можжевельник горизонтальный Blue Chip 15-25;Хвойные;65;bush_nidells/;65-66;.jpg
336;Можжевельник горизонтальный Blue Chip, С2/3, 20-40см;Хвойные;66;bush_nidells/;65-66;.jpg
337;Можжевельник горизонтальный Glacier 20-30;Хвойные;67;bush_nidells/;67;.jpg
338;Можжевельник горизонтальный Glauca, С3, 20-40см;Хвойные;68;bush_nidells/;68;.jpg
339;Можжевельник горизонтальный Golden Carpet, С2/3, 15-25см;Хвойные;69;bush_nidells/;69;.jpg
340;Можжевельник горизонтальный Plumosa, С3, 30-50см;Хвойные;70;bush_nidells/;70;.jpg
341;Можжевельник горизонтальный Prince of Wales, С2/3, 20-40см;Хвойные;71;bush_nidells/;71;.jpg
342;Можжевельник горизонтальный Wiltonii, С2/3, 20-40см;Хвойные;72;bush_nidells/;72;.jpg
343;Можжевельник горизонтальный видовая норма,30-40см;Хвойные;73;bush_nidells/;;.jpg
344;Можжевельник китайский видовая норма,80-100см;Хвойные;74;bush_nidells/;;.jpg
345;Можжевельник китайский Робуста Грин,125-150см;Хвойные;75;bush_nidells/;75-76;.jpg
346;Можжевельник китайский Робуста Грин,175-200см;Хвойные;76;bush_nidells/;77;.jpg
347;Можжевельник китайский Спартан, 100-125см;Хвойные;77;bush_nidells/;80-81;.jpg
348;Можжевельник обыкновенный видовая норма, 50-60см;Хвойные;78;bush_nidells/;80-81;.jpg
349;Можжевельник обыкновенный видовая норма, 80-100см;Хвойные;79;bush_nidells/;82;.jpg
350;Можжевельник обыкновенный Голд Кон, 50-60см;Хвойные;80;bush_nidells/;83;.jpg
351;Можжевельник обыкновенный Голд Кон, 80-100см;Хвойные;81;bush_nidells/;84;.jpg
352;Можжевельник скальный Блу Эрроу,150-175см;Хвойные;82;bush_nidells/;;.jpg
353;Можжевельник средний Oid Gold;Хвойные;83;bush_nidells/;;.jpg
354;Можжевельник средний Минт Джулеп,60-80см;Хвойные;84;bush_nidells/;;.jpg
26;Айва japonika 20-30;Лиственные;13;bush_list/;;.jpg
27;Айва superda Nicoline 30-50;Лиственные;14;bush_list/;;.jpg
28;Айва средняя (японская)Grimson and Gold, 30-50;Лиственные;15;bush_list/;;.jpg
29;Айва средняя (японская)Grimson and Gold,3-4года;Лиственные;16;bush_list/;;.jpg
30;Барбарис ottawensis Silver Miles, 30-50см;Лиственные;17;bush_list/;;.jpg
31;Барбарис ottawensis Silver Miles, 30-50;Лиственные;18;bush_list/;;.jpg
32;Барбарис ottawensis Superba, 20-40;Лиственные;19;bush_list/;;.jpg
33;Барбарис ottawensis Superba, 30-40;Лиственные;20;bush_list/;;.jpg
34;Барбарис ottawensis Superba, 50-70см;Лиственные;21;bush_list/;;.jpg
35;Барбарис ottawensis Superba, 80-100см;Лиственные;22;bush_list/;;.jpg
36;Барбарис thunbergii Admiration 15-20;Лиственные;23;bush_list/;;.jpg
37;Барбарис thunbergii Atropurpurea, 30-50см;Лиственные;24;bush_list/;;.jpg
38;Барбарис thunbergii Aurea, 15-30см;Лиственные;25;bush_list/;;.jpg
39;Барбарис thunbergii Bagatelle, 10-20см;Лиственные;26;bush_list/;;.jpg
40;Барбарис thunbergii Erecta 20-40;Лиственные;27;bush_list/;;.jpg
41;Барбарис thunbergii Golden Garpet 30-40;Лиственные;28;bush_list/;;.jpg
42;Барбарис thunbergii Golden Ring;Лиственные;29;bush_list/;29-32;.jpg
43;Барбарис thunbergii Golden Ring 30-40;Лиственные;30;bush_list/;29-32;.jpg
44;Барбарис thunbergii Golden Ring, 20-30см;Лиственные;31;bush_list/;29-32;.jpg
45;Барбарис thunbergii Golden Ring, 30-50см;Лиственные;32;bush_list/;29-32;.jpg
46;Барбарис thunbergii Green Garpet, 20-30см;Лиственные;33;bush_list/;;.jpg
47;Барбарис thunbergii Kobold 10-20;Лиственные;34;bush_list/;;.jpg
48;Барбарис thunbergii Kornik, 30-50см;Лиственные;35;bush_list/;;.jpg
49;Барбарис thunbergii Kornik, 50-70;Лиственные;36;bush_list/;;.jpg
50;Барбарис thunbergii Maria;Лиственные;37;bush_list/;;.jpg
51;Барбарис thunbergii Maria 10-20;Лиственные;38;bush_list/;;.jpg
52;Барбарис thunbergii Orange Rocket 20-30;Лиственные;39;bush_list/;;.jpg
53;Барбарис thunbergii Red Carpet 20-30;Лиственные;40;bush_list/;;.jpg
54;Барбарис thunbergii Red Carpet, 20-40см;Лиственные;41;bush_list/;;.jpg
55;Барбарис thunbergii Red Carpet, 30-40см;Лиственные;42;bush_list/;;.jpg
56;Барбарис thunbergii Rose Glow 30-50;Лиственные;43;bush_list/;;.jpg
57;Барбарис thunbergii Rose Glow, 20-40см;Лиственные;44;bush_list/;;.jpg
58;Барбарис thunbergii Smaragd 20-40;Лиственные;45;bush_list/;;.jpg
59;Барбарис амурский Berberis, 3-4года;Лиственные;46;bush_list/;;.jpg
60;Барбарис обыкновенный,3-4года;Лиственные;47;bush_list/;;.jpg
61;Барбарис Тунберга(жёлтый),3-4года;Лиственные;48;bush_list/;;.jpg
62;Бересклет alatus, 30-50;Лиственные;49;bush_list/;;.jpg
63;Бересклет alatus Compactus 40-60;Лиственные;50;bush_list/;;.jpg
64;Бересклет fortunei Blondy 20-30;Лиственные;51;bush_list/;;.jpg
65;Бересклет fortunei Emerald Gaiety, 30-40;Лиственные;52;bush_list/;;.jpg
66;Бересклет fortunei Emerald Gaiety 20-30;Лиственные;53;bush_list/;;.jpg
67;Бересклет fortunei Emerald Gaiety ,Р11, 15-25см;Лиственные;54;bush_list/;;.jpg
68;Бересклет fortunei Emerald n Gold 30-40;Лиственные;55;bush_list/;;.jpg
69;Бересклет fortunei Emerald n Gold ,Р11, 20-30см;Лиственные;56;bush_list/;;.jpg
70;Бересклет fortunei Interbolwi 15-25;Лиственные;57;bush_list/;;.jpg
71;Бересклет fortunei Sunspot 30-40;Лиственные;58;bush_list/;;.jpg
72;Бересклет fortunei Sunspot ,Р1,5, 20-30см;Лиственные;59;bush_list/;;.jpg
73;Бересклет бородавчатый,3-4года;Лиственные;60;bush_list/;;.jpg
74;Бирючина vulgare, 40-60см;Лиственные;61;bush_list/;;.jpg
