id;product_name;cat_name;num;path;img;exp
839;ALT- гранулы (от грызунов) (Родемос) 50 г.;Удобрения и химикаты;13;fertilizers/;;.jpg
840;BF Удобрение Газонное Весна-Лето 5 кг.;Удобрения и химикаты;14;fertilizers/;14;.jpg
841;BF Удобрение для хвойных растений 1,5 л. (канистра);Удобрения и химикаты;15;fertilizers/;15;.jpg
842;BF Удобрение Универсальное Весна-Лето 5 кг.;Удобрения и химикаты;16;fertilizers/;16;.jpg
843;BF Удобрение Универсальное Осень 5 кг.;Удобрения и химикаты;17;fertilizers/;;.jpg
844;BF Удобрение Цветочное Весна- Лето 2,5 кг.;Удобрения и химикаты;18;fertilizers/;18;.jpg
845;GGJ Суперуд.длит.действия д/гортен.,родоленд. 900 г.;Удобрения и химикаты;19;fertilizers/;;.jpg
846;GRVS Подкормка для роз 500 мл. (флакон);Удобрения и химикаты;20;fertilizers/;;.jpg
847;MCKS Суперуд.длит.действия д/газона 900 г.(ведро);Удобрения и химикаты;21;fertilizers/;;.jpg
848;MCKS Суперуд.длит.действия д/хвойн./самшита 900 г.;Удобрения и химикаты;22;fertilizers/;;.jpg
849;TBS Средство д/хвойных от покоричневения 1 кг;Удобрения и химикаты;23;fertilizers/;;.jpg
850;Августина -10 (от клещей, щитовок,гусен.) (Ав) 12мл.;Удобрения и химикаты;24;fertilizers/;;.jpg
851;Августина -7 (от тли,белокрылки,трипр.) (Ав) 12мл.;Удобрения и химикаты;25;fertilizers/;;.jpg
852;Агрессор-спрей (от мух и муравьёв) (РАС) 100мл.;Удобрения и химикаты;26;fertilizers/;;.jpg
853;Азалия (среднекислый грунт) 2,5 л.;Удобрения и химикаты;27;fertilizers/;;.jpg
854;Актеллик (от клещей и вредителей) (Август) 100мл.;Удобрения и химикаты;28;fertilizers/;;.jpg
855;Актеллик (от клещей и вредителей) (З-А) 2мл.;Удобрения и химикаты;29;fertilizers/;;.jpg
856;Антимуровей-приманка от муравьёв (М-А,Ус) 20г.;Удобрения и химикаты;30;fertilizers/;;.jpg
857;"Аэрозоль ""Мухояр"" (от мух, мурав. и пр.) (ВХ) 180мл.";Удобрения и химикаты;31;fertilizers/;;.jpg
858;Баргузин ( от проволочника и муравьёв) (М-А) 15г.;Удобрения и химикаты;32;fertilizers/;;.jpg
859;Бегония (слабокислый грунт) 2,5 л.;Удобрения и химикаты;33;fertilizers/;;.jpg
860;Био- Мастер -Газон (микроудобрение) 50 г.;Удобрения и химикаты;34;fertilizers/;;.jpg
861;Био- Мастер -Ландшафт (микроудобрение) 50 г.;Удобрения и химикаты;35;fertilizers/;;.jpg
