id;product_name;cat_name;num;path;img;exp
659;"Астра кустовая ""Mariore"", 2л, 30-50см";Цветы;13;flowers/;13;.jpg
660;"Астра кустовая ""Ronald"", 2л, 30-50см";Цветы;14;flowers/;14;.jpg
661;"Астра кустовая ""Weiss"", 2л, 30-50см";Цветы;15;flowers/;15;.jpg
662;"Астра ново-бельгийская ""Nansy Ballard"", 2л, 90-100см";Цветы;16;flowers/;16;.jpg
663;Брунелла;Цветы;17;flowers/;17;.jpg
664;Василёк крупноголовый, Р9, 100-120см;Цветы;18;flowers/;18;.jpg
665;Василёк подбеленный, Р9, 40-60см;Цветы;19;flowers/;19;.jpg
666;"Гайлардия остистая ""Kobold"", Р9, 60см";Цветы;20;flowers/;20;.jpg
667;Гвоздика травянка, 2л;Цветы;21;flowers/;21;.jpg
668;Гвоздика, Р9;Цветы;22;flowers/;22;.jpg
669;Герань, 2л;Цветы;23;flowers/;23;.jpg
670;Дельфиниум (сеянцы,сорта), Р9, 100см;Цветы;24;flowers/;24;.jpg
671;Ирис болотный (жёлтый), 2л;Цветы;25;flowers/;25;.jpg
672;Ирис бородатый, 2л, 60-80см;Цветы;26;flowers/;26;.jpg
673;Ирис карликовый, Р9;Цветы;27;flowers/;27;.jpg
674;Ирис сибирский (синий), 2л;Цветы;28;flowers/;28;.jpg
675;Колокольчик, Р9;Цветы;29;flowers/;29;.jpg
676;Ленок(голубой), Р9;Цветы;30;flowers/;30;.jpg
677;Лилейник, 2л;Цветы;31;flowers/;31;.jpg
678;Лилия (40сортов), (от80до 150руб), Р9, 40-120см;Цветы;32;flowers/;;.jpg
679;Лихнис корончатый, Р9;Цветы;33;flowers/;33;.jpg
680;Лихнис халцедонский, 2л, 80см;Цветы;34;flowers/;34;.jpg
681;Лихнис халцедонский, Р9;Цветы;35;flowers/;35;.jpg
682;Люпин;Цветы;36;flowers/;36;.jpg
683;Маргаритка красная, 2л;Цветы;37;flowers/;37;.jpg
684;Медуница сахарная, Р9;Цветы;38;flowers/;38;.jpg
685;Мелколепестник, 2л;Цветы;39;flowers/;39;.jpg
686;Очиток видный, 2л;Цветы;40;flowers/;40;.jpg
687;Пион Barbara, 3л, 100см;Цветы;41;flowers/;41;.jpg
