id;product_name;cat_name;num;path;img;exp
960;Газон Жемчужная россыпь (для ленивых) 30г.;Семена;13;seeds/;13;.jpeg
961;Газон Клевер белый Ривендел ( Е -С , З - К ), 0,5кг.;Семена;14;seeds/;14;.jpg
962;Газон Клевер Нанук ползуч.белый 20г.;Семена;15;seeds/;15;.jpg
963;Газон Коттедж (Север Стандарт);Семена;16;seeds/;16;.jpg
964;Газон Коттедж ТопГрин;Семена;17;seeds/;17;.jpg
965;Газон Спорт (Е-С);Семена;18;seeds/;18-19;.jpg
966;Газон Спорт Универсал (Север Стандарт ),;Семена;19;seeds/;18-19;.jpg
967;Газон Шедоу (теневыносливый) ( Е -С );Семена;20;seeds/;20;.jpg
968;Огурец СО Барабулька F1 (ГАВРИШ) 10 шт;Семена;21;seeds/;21;.jpeg
969;Огурец ПО Аннушка F1 12шт;Семена;22;seeds/;22;.jpeg
970;Огурец ПО Бидретта F1 (НК) 12 шт;Семена;23;seeds/;23;.jpeg
971;Огурец ПО Изящный NEW 200% (НК) 2г.;Семена;24;seeds/;24;.jpg
972;Огурец ПО Капелька 0,5 г.;Семена;25;seeds/;25;.jpg
973;Огурец ПО Конкурент (НК) 1 г.;Семена;26;seeds/;26-27;.jpg
974;Огурец СО Буян F1 (НК) 10 шт;Семена;27;seeds/;26-27;.jpg
975;Огурец СО Гинга F1 (НК) 10 шт;Семена;28;seeds/;28;.jpg
976;Огурец СО Динамит F1 Урожай на окне (ГВ) 10 шт;Семена;29;seeds/;29;.jpg
977;Огурец СО Зятёк F1 (ГАВРИШ) 10 шт;Семена;30;seeds/;30;.jpg
978;Огурец СО Клавдия F1 (Гавриш) 10 шт;Семена;31;seeds/;;.jpg
979;Огурец СО Конни F1 NEW 200% 0,4 г.;Семена;32;seeds/;;.jpg
980;"Петрушка Корневая сахарная ""Кольчуга"" 2 г.";Семена;33;seeds/;33;.jpg
981;"Петрушка Кудрявая ""Кольчуга"" 2 г.";Семена;34;seeds/;34;.jpg
982;"Петрушка Кудрявая ""Эсмеральда"" (ГАВРИШ) 2 г.";Семена;35;seeds/;35;.jpg
983;Петрушка листовая Нежный Аромат 2 г.;Семена;36;seeds/;;.jpg
