id;product_name;cat_name;num;path;img;exp
366;Ѕереза pendula Golden Gloud Pa, —10, 100-140см;Ћиственные;13;tree/;13;.jpg
367;Ѕереза pendula Purpurea Pa, —5, 110-140см;Ћиственные;14;tree/;14;.jpg
368;Ѕереза pendula Purpurea Pa, 60-100;Ћиственные;15;tree/;15;.jpg
369;Ѕереза pendula Younhgii Pa 200-250;Ћиственные;16;tree/;16-17;.jpg
370;Ѕереза pendula Younhgii Pa 175-200;Ћиственные;17;tree/;16-17;.jpg
371;Ѕереза обыкновенна¤ сибирска¤ (се¤нцы) 2м.;Ћиственные;18;tree/;18;.jpg
372;Ѕереза пушиста¤ Aurea Pa 1,5-2м;Ћиственные;19;tree/;19;.jpg
373;Ѕо¤рышник media Paul s Scarlet 40-60;Ћиственные;20;tree/;20-22;.jpg
374;Ѕо¤рышник media Paul s Scarlet 60-80;Ћиственные;21;tree/;20-22;.jpg
375;Ѕо¤рышник media Paul s Scarlet 80-100;Ћиственные;22;tree/;20-22;.jpg
376;Ѕо¤рышник monogyna Variegata ,—5, 100-150см;Ћиственные;23;tree/;23-24;.jpg
377;Ѕо¤рышник monogyna Variegata 80-100;Ћиственные;24;tree/;23-24;.jpg
378;Ѕо¤рышник кровавокрасный;Ћиственные;25;tree/;25;.jpg
379;vинкго biloba Pendula 40-60;Ћиственные;26;tree/;26;.jpg
380;?уб(се¤нцы) 1-2года;Ћиственные;27;tree/;27-30;.jpg
381;?уб(се¤нцы) 3года;Ћиственные;28;tree/;27-30;.jpg
382;?уб(се¤нцы) 4-5лет;Ћиственные;29;tree/;27-30;.jpg
383;?уб(се¤нцы) 6-8лет;Ћиственные;30;tree/;27-30;.jpg
384;»ва caprea Curly Lock Pa 200-240;Ћиственные;31;tree/;37;.jpg
385;»ва caprea Pendula Pa, 125-150;Ћиственные;32;tree/;32-33;.jpg
386;»ва caprea Pendula Pa, —3, 100-140см;Ћиственные;33;tree/;32-33;.jpg
387;»ва integra Hakuro Nishiki Pa, —15, 150-200см;Ћиственные;34;tree/;34-36;.jpg
388;»ва integra Hakuro Nishiki Pa, —3, 80-120см;Ћиственные;35;tree/;34-36;.jpg
389;»ва integra Hakuro Nishiki Pa, —5, 150-180см;Ћиственные;36;tree/;34-36;.jpg
390;»ва integra Pendula Pa, —3, 60-100см;Ћиственные;37;tree/;37;.jpg
391;»ва Lebedura;Ћиственные;38;tree/;38;.jpg
392;»ва purpurea Nana Pa 60/100;Ћиственные;39;tree/;39-40;.jpg
393;»ва purpurea Nana, —7.5, 40-60см;Ћиственные;40;tree/;39-40;.jpg
394;"»ва бела¤ ""«елЄный шар"" 2-3года";Ћиственные;41;tree/;41-42;.jpg
395;"»ва бела¤ ""«елЄный шар"" 4-5лет, 3-4м.";Ћиственные;42;tree/;41-42;.jpg
396;»ва извилиста¤ 1,5-2м. 3-5лет;Ћиственные;43;tree/;43-45;.jpg
397;»ва извилиста¤ 2,5м. 4-5лет;Ћиственные;44;tree/;43-45;.jpg
398;»ва извилиста¤ 3-4м.5-6лет;Ћиственные;45;tree/;43-45;.jpg
399;»ва курниковска¤ 20-30см.;Ћиственные;46;tree/;46-47;.jpg
400;»ва курниковска¤ 40-80см.;Ћиственные;47;tree/;46-47;.jpg
401;»ва плакучий гном 1,2-1,5м;Ћиственные;48;tree/;48;.jpg
402;»ва ползуча¤ Ќ»“»?ј 2-4года;Ћиственные;49;tree/;49;.jpg
403;»ва пурпурна¤ 3-4года;Ћиственные;50;tree/;50;.jpg
404;»ва пурпурна¤ Nana 4-5лет;Ћиственные;51;tree/;51;.jpg
405;»ва серебриста¤ 2-3года;Ћиственные;52;tree/;52-53;.jpg
406;»ва серебриста¤ 3-4года;Ћиственные;53;tree/;52-53;.jpg
407;»ва тонколистна¤ 3-4года;Ћиственные;54;tree/;54;.jpg
408;»ва шаровидна¤ 2-3года;Ћиственные;55;tree/;55;.jpg
409;»ва шертиста¤ 2-4года;Ћиственные;56;tree/;56;.jpg
410; арагана (акаци¤) Pendula Pa 180;Ћиственные;57;tree/;57-58;.jpg
411; арагана (акаци¤) Pendula Pa (6-8);Ћиственные;58;tree/;57-58;.jpg
412; арагана (акаци¤) Walker 150-200;Ћиственные;59;tree/;59-60;.jpg
413; арагана (акаци¤) Walker Pa (6-8) 180-210;Ћиственные;60;tree/;59-60;.jpg
414; аштан hippocastanum 130-150;Ћиственные;61;tree/;61;.jpg
415; аштан hippocastanum Baumanii 40-60;Ћиственные;62;tree/;62;.jpg
416; аштан hippocastanum Memmingeri 100-120;Ћиственные;63;tree/;63-65;.jpg
417; аштан hippocastanum Memmingeri 120-160;Ћиственные;64;tree/;63-65;.jpg
418; аштан hippocastanum Memmingeri 30-50;Ћиственные;65;tree/;63-65;.jpg
419;" лЄн ""vиннала"" 2-3года";Ћиственные;66;tree/;66-67;.jpg
420;" лЄн ""vиннала"" 3-4года";Ћиственные;67;tree/;66-67;.jpg
421;" лЄн ""ћоно""";Ћиственные;68;tree/;68;.jpg
422; лЄн platanoides 130/180;Ћиственные;69;tree/;69-71;.jpg
423; лЄн platanoides 130-180;Ћиственные;70;tree/;69-71;.jpg
424; лЄн platanoides 60-80;Ћиственные;71;tree/;69-71;.jpg
425; лЄн platanoides Drummondii (4-6) 200-250;Ћиственные;72;tree/;72-73;.jpg
426; лЄн platanoides Drummondii 50-100;Ћиственные;73;tree/;72-73;.jpg
427; лЄн platanoides Faassen s Black (4-6) 200-250;Ћиственные;74;tree/;74-77;.jpg
428; лЄн platanoides Faassen s Black 100-120;Ћиственные;75;tree/;74-77;.jpg
429; лЄн platanoides Faassen s Black 60-80;Ћиственные;76;tree/;74-77;.jpg
430; лЄн platanoides Faassen s Black 80-100;Ћиственные;77;tree/;74-77;.jpg
431; лЄн platanoides Globosum Pa 100-130;Ћиственные;78;tree/;78;.jpg
432; лЄн platanoides Golden Globe Pa 120-150;Ћиственные;79;tree/;79-80;.jpg
