name;price;description;height;soil;lighting;area;decorative;landing
        Актинидия kolomikta  Szymanowski;560;Высота до 3-4 метров, ежегодный прирост 1–2 м. Декоративно окрашенные листья, очень оригинальные, в мае становятся бело-зелеными, а в июне дополнительно окрашиваются в розовый цвет. Окраска проявляется на 2-3 году после посадки, на наиболее хорошо освещенных листьях. Цветки мелкие, белые, расцветают в мае. Для образования плодов требуется около 130 дней без заморозков.Плоды зеленовато-желтые с румянцем на солнечной стороне.;4м;Дренированные, плодородные;Солнце;зона 4;0;0
        Актинидия kolomikta Adam;280;"Достигает высоты около 3-4 м, ежегодный прирост 1–2 м.
Декоративно окрашенные листья, очень оригинальные, в мае становятся бело-зелеными, а в июне дополнительно окрашиваются в розовый цвет. Окраска проявляется на 2-3 году после посадки, на наиболее хорошо освещенных листьях.
Цветки мелкие, белые, расцветают в мае.";4м;Неприхотлива;Солнце;зона 4;1;0
        Актинидия kolomikta Dr Szymanowski;280;Высота до 3-4 метров, ежегодный прирост 1–2 м. Декоративно окрашенные листья, очень оригинальные, в мае становятся бело-зелеными, а в июне дополнительно окрашиваются в розовый цвет. Окраска проявляется на 2-3 году после посадки, на наиболее хорошо освещенных листьях. Цветки мелкие, белые, расцветают в мае. Для образования плодов требуется около 130 дней без заморозков.Плоды зеленовато-желтые с румянцем на солнечной стороне.;4м;Дренированные, плодородные;Солнце;зона 4;0;0
        Виноград амурский, 3года;250;Это крупная деревянистая лиана высотой около 20 метров и толщиной не меньше 10 сантиметров. Листья у амурского винограда темно-зеленые, орнаментальные, размер крупный. Осенью становятся красно-фиолетового цвета, и растение в этот период времени смотрится наиболее эффектно. ;20м;Плодородные;Солнце;зона 6А;0;0
        Виноград девичий ;150;Декоративно-лиственное растение. Лиана высотой до 20 м. Создает густые плотные ровные и весьма декоративные покрытия. Взбирается на опоры с помощью усиков. Листья длиной 7-8 см, пальчато-сложные, из пяти листочков, темно-зеленые, блестящие. Особенно декоративны осенью, когда окрашиваются в красные тона - багровые, пурпурные или оранжево-красные. Начало распускания листьев - первая половина мая, массовый листопад - первая половина октября. ;20м;Неприхотлива;Солнце, полутень;зона 6А;0;0
        Виноград девичий (двухлетний);180;Декоративно-лиственное растение. Лиана высотой до 20 м. Создает густые плотные ровные и весьма декоративные покрытия. Взбирается на опоры с помощью усиков. Листья длиной 7-8 см, пальчато-сложные, из пяти листочков, темно-зеленые, блестящие. Особенно декоративны осенью, когда окрашиваются в красные тона - багровые, пурпурные или оранжево-красные. Начало распускания листьев - первая половина мая, массовый листопад - первая половина октября. ;20м;Неприхотлива;Солнце, полутень;зона 6А;0;0
        Виноград девичий (трёхлетний);220;Декоративно-лиственное растение. Лиана высотой до 20 м. Создает густые плотные ровные и весьма декоративные покрытия. Взбирается на опоры с помощью усиков. Листья длиной 7-8 см, пальчато-сложные, из пяти листочков, темно-зеленые, блестящие. Особенно декоративны осенью, когда окрашиваются в красные тона - багровые, пурпурные или оранжево-красные. Начало распускания листьев - первая половина мая, массовый листопад - первая половина октября. ;20м;Неприхотлива;Солнце, полутень;зона 6А;0;0
        Виноград девичий guinguefolia (5-ти листный) 100-120;530;"Высота 15 м. Листья эллиптические или узко яйцевидные, темно – зеленые, снизу голубоватые, осенняя окраска огненно – или багряно – красная; цветки невзрачные, мелкие зеленоватые. Цветет в июле - августе. Плоды  шаровидные, сине – черные, с сизым налетом, несъедобные.
";15м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Жимолость каприфоль, 1год;100;"Красиво цветущий, вьющийся кустарник, побеги которого поднимаются на высоту до 4-6 м. Молодые побеги голые, светло-зеленые, на освещенной. стороне — фиолетово-красные. Листья плотные, кожистые, эллиптические или широкоэллиптические, сверху темно-зеленые, снизу — голубовато-сизые; 2-3 пары верхних листьев срастаются основаниями в эллиптический диск. Свою окраску они сохраняют до глубокой осени и опадают одними из последних в саду. ";6м;Неприхотлива;Солнце, полутень;зона 5В;0;0
        Жимолость каприфоль, 2года;300;"Красиво цветущий, вьющийся кустарник, побеги которого поднимаются на высоту до 4-6 м. Молодые побеги голые, светло-зеленые, на освещенной. стороне — фиолетово-красные. Листья плотные, кожистые, эллиптические или широкоэллиптические, сверху темно-зеленые, снизу — голубовато-сизые; 2-3 пары верхних листьев срастаются основаниями в эллиптический диск. Свою окраску они сохраняют до глубокой осени и опадают одними из последних в саду. ";6м;Неприхотлива;Солнце, полутень;зона 5В;0;0
