name;price;unit
            Материал геотекстильный Геобел Т 100г/кв.м (1,8х100);50.4;пог.м.
            Полотно полиэфирное геотекстильное Лавсан 200 (2,2*25);58.8;пог.м.
            Полотно полиэфирное геотекстильное Лавсан 300 (2,2*25);94.6;пог.м.
        Камень бетонный перегородочный (КП-ПР-ПС-39) (М-100);170;шт
            Грунт ГФ-021 (0,9кг) ЯрКо;120;шт
            Грунт ГФ-021 (1,9кг) ЯрКо;236;шт
            Лак тонирующий атмосфер.дуб (0,7кг) ЯрКо;154;шт
            Лак тонирующий атмосфер.дуб (2,5кг) ЯрКо;524;шт
            Лак тонирующий атмосфер.тик (0,7кг) ЯрКо;154;шт
            Лак тонирующий атмосфер.тик (2,5кг) ЯрКо;524;шт
            Лак тонирующий экологич.орех (0,8кг) ЯрКо;157;шт
            Лак тонирующий экологич.орех (2,7кг) ЯрКо;537;шт
            Лак тонирующий экологич.эбеновое дер (0,8кг) ЯрКо;157;шт
            Лак тонирующий экологич.эбеновое дер (2,7кг) ЯрКо;537;шт
            Эмаль ПФ-115 белая супер (0,9кг) ЯрКо;158;шт
            Эмаль ПФ-115 белая супер (2,7кг) ЯрКо;417;шт
            Эмаль ПФ-115 бирюзовая (0,9кг) ЯрКо;138;шт
            Эмаль ПФ-115 бирюзовая (2,7кг) ЯрКо;363;шт
            Эмаль ПФ-115 голубая (0,9кг) ЯрКо;134;шт
            Эмаль ПФ-115 голубая (2,7кг) ЯрКо;354;шт
            Эмаль ПФ-115 жёлтая (0,9кг) ЯрКо;147;шт
            Эмаль ПФ-115 жёлтая (2,7кг) ЯрКо;390;шт
            Эмаль ПФ-115 коричневая (0,9кг) ЯрКо;134;шт
            Эмаль ПФ-115 коричневая (2,7кг) ЯрКо;354;шт
            Эмаль ПФ-115 красная (0,9кг) ЯрКо;147;шт
            Эмаль ПФ-115 красная (2,7кг) ЯрКо;390;шт
            Эмаль ПФ-115 морская волна (0,9кг) ЯрКо;134;шт
            Эмаль ПФ-115 морская волна (2,7кг) ЯрКо;354;шт
            Эмаль ПФ-115 персик (0,9кг) ЯрКо;140;шт
            Эмаль ПФ-115 персик (2,7кг) ЯрКо;371;шт
            Эмаль ПФ-115 салатовая (0,9кг) ЯрКо;140;шт
            Эмаль ПФ-115 салатовая (2,7кг) ЯрКо;371;шт
            Эмаль ПФ-115 слоновая кость(0,9кг) ЯрКо;138;шт
            Эмаль ПФ-115 слоновая кость(2,7кг) ЯрКо;363;шт
        Мраморная крошка  МКР;7;кг
        Мраморная крошка в мешках МКР, 1000 кг;6000;шт
        Мраморная крошка в мешках, 25кг.;180;шт
            Металлочерепица монтеррей (3005);200;кв.м.
            Металлочерепица монтеррей (5021);200;кв.м.
            Металлочерепица монтеррей (6005);200;кв.м.
            Металлочерепица монтеррей (8017);200;кв.м.
            Профнастил МП-20 (5005);480;л.
            Профнастил МП-20 (5021);575;л.
            Профнастил МП-20 (8017);575;л.
            Профнастил МП-20 Zn;480;л.
            Профнастил С-8 А  Zn;360;л.
            Профнастил С-8 А 6005;570;л.
        Пакет ПВД(100х125/50мк);10;шт
        Пакет ПВД(45х55/120мк);5;шт
        Пакет ПВД(70х110/50мк);5;шт
        Песок (25кг);30;упак
        Песчаник саянский;500;кв.м.
        Поддоны;300;шт
"        Поликарбонат сотовый ""Сибирские теплицы"", 0,4мм, 2,1х6,0";1650;л.
