name;price;unit
        ALT- гранулы  (от грызунов)  (Родемос)  50 г.;18;шт
        BF Удобрение Газонное Весна-Лето   5 кг.;474;шт
        BF Удобрение для хвойных растений 1,5 л. (канистра);385;шт
        BF Удобрение Универсальное Весна-Лето   5 кг.;452;шт
        BF Удобрение Универсальное Осень   5 кг.;489;шт
        BF Удобрение Цветочное  Весна- Лето   2,5 кг.;240;шт
        GGJ  Суперуд.длит.действия д/гортен.,родоленд.   900 г.;632;шт
        GRVS Подкормка для роз  500 мл.   (флакон);313;шт
        MCKS Суперуд.длит.действия д/газона  900 г.(ведро);659;шт
        MCKS Суперуд.длит.действия д/хвойн./самшита   900 г.;659;шт
        TBS Средство д/хвойных от покоричневения 1 кг;433;шт
        Августина -10  (от клещей, щитовок,гусен.) (Ав) 12мл.;98;шт
        Августина -7  (от тли,белокрылки,трипр.) (Ав) 12мл.;98;шт
        Агрессор-спрей (от мух и муравьёв) (РАС) 100мл.;107;шт
        Азалия (среднекислый грунт) 2,5 л.;40;шт
        Актеллик (от клещей и вредителей)  (Август)   100мл.;546;шт
        Актеллик (от клещей и вредителей)  (З-А)  2мл.;17;шт
        Антимуровей-приманка от муравьёв  (М-А,Ус)  20г.;18;шт
"        Аэрозоль ""Мухояр"" (от мух, мурав. и пр.)  (ВХ)  180мл.";81;шт
        Баргузин ( от проволочника и муравьёв) (М-А)   15г.;15;шт
        Бегония  (слабокислый грунт) 2,5 л.;40;шт
        Био- Мастер  -Газон (микроудобрение)  50 г.;11;шт
        Био- Мастер  -Ландшафт  (микроудобрение)  50 г.;11;шт
        Био- Мастер  (подкормка для роз) 0,35л.;50;шт
        Био- Мастер  (ун.подкормка для декор.раст) 0,5л.;70;шт
        Био- Мастер  (универсальная подкормка) 3л.;120;бут.
        Биосил (регулятор роста)   (Е-С) ампула 1 мл.;20;шт
        Биотлин  (тля и др. вредит.) (Август) ампула  3мл.;17;шт
        Бис-300 (от сорн. на газонах,землян.) (Е-С) 12мл.;100;шт
        Блеск для листьев (Химик) 300мл.;150;шт
        Бордоская смесь (Зелёная Планета) 100г.;33;шт
        Бутон-Универсальный (стим.плодообраз)  (З-П)   2 г.;24;шт
        Вар Садовый (Усадьба) 200г.;40;шт
        Великий Воин-гель  (от муравьёв)  (ВХ)  30г.;48;шт
"        Вермикулит ""Био-Мастер"" (стим.доб.), 2л.";60;шт
        Глифор (от сорняков)  (Агролайн),  80мл.;131;шт
        Граунд био  (от сорняков)  (З-П)   5 мл.;12;шт
        Гризли  (от медведки)  (Август)   20г.;12;шт
        Гроза-Мета  (от улиток и слизней)    (З-А)   15г.;16;шт
        Гром  (от садовых муравьёв)   (З-А)  20г.;13;шт
        Грунт БИО-МАСТЕР (универс.грунт) 25л.;200;шт
        Гумат Байкал (стимулятор роста)  (МосАгро)   10 г.;7;шт
        Гуми- Оми многолетние (д/многол.цветов)  (БИ)  50 г.;8;шт
