name;price;unit
        Газон Жемчужная россыпь (для ленивых) 30г.;32;шт
        Газон Клевер белый Ривендел  ( Е -С ,  З - К ), 0,5кг.;360;шт
        Газон Клевер Нанук ползуч.белый  20г.;40;шт
        Газон Коттедж  (Север Стандарт)  ;305;кг
        Газон Коттедж  ТопГрин  ;340;кг
        Газон Спорт   (Е-С)  ;330;кг
        Газон Спорт Универсал  (Север Стандарт ), ;340;кг
        Газон Шедоу (теневыносливый)  ( Е -С );310;кг
        Огурец  СО Барабулька F1   (ГАВРИШ)  10 шт;26;шт
        Огурец ПО Аннушка F1  12шт;15;шт
        Огурец ПО Бидретта F1   (НК)  12 шт;10;шт
        Огурец ПО Изящный  NEW  200%  (НК)  2г.;10;шт
        Огурец ПО Капелька  0,5 г.;9;шт
        Огурец ПО Конкурент   (НК)    1 г.;10;шт
        Огурец СО Буян F1   (НК)  10 шт;23;шт
        Огурец СО Гинга F1   (НК)  10 шт;15;шт
        Огурец СО Динамит F1 Урожай на окне  (ГВ)  10 шт;11;шт
        Огурец СО Зятёк F1  (ГАВРИШ)  10 шт;34;шт
        Огурец СО Клавдия F1   (Гавриш)  10 шт;26;шт
        Огурец СО Конни F1  NEW   200%   0,4 г.;17;шт
"        Петрушка Корневая сахарная ""Кольчуга""   2 г.";4;шт
"        Петрушка Кудрявая ""Кольчуга""   2 г.";4;шт
"        Петрушка Кудрявая ""Эсмеральда""  (ГАВРИШ)   2 г.";9;шт
        Петрушка листовая Нежный Аромат   2 г.;10;шт
        Петрушка листовая Урожайная  (ГАВРИШ)   2 г.;8;шт
"        Пряность Базилик Ереванский  ""Кольчуга""  0,3 г";5;шт
        Пряность Базилик Зелёный Аромат  (ГАВР)  0,3 г.  ;8;шт
        Пряность Базилик Лимонный Аромат  (НК)  0,2 г.  ;9;шт
        Пряность Базилик Философ фиол.  (ГАВР)  0,3 г.  ;10;шт
        Пряность Базилик Широколистный  NEW   200%   1 г.;9;шт
        Пряность Кориандр Шико (ГАВРИШ)   2 г.;10;шт
"        Пряность Кориандр Янтарь ""Кольчуга""   3 г.";4;шт
        Редис 18 дней 200%  (НК)  6 г.;10;шт
        Редис Дуро  (НК)   3 г.;10;шт
        Редис Жара  NEW   200%  (НК)   6 г.;10;шт
        Редис Красный великан  NEW   200%  (НК)   6 г.;10;шт
        Редис Ризенбутер (mini-SEM)   (НК)   3 г.;9;шт
        Редис Роз.- крас. с белым кончиком  NEW   200%   6 г.;11;шт
        Редис Рубин  NEW   200%   6 г.;10;шт
        Редис Сахарок Русский вкус (ГАВРИШ)   2г.;13;шт
        Редис Французский завтрак  NEW   200%   6 г.;10;шт
        Редис Эконом  NEW   200%  смесь  6 г.;10;шт
        Салат Айсберг Грейт Лейкс кочанный 1 г.;10;шт
        Салат Восхитительный  F1  листовой 250 шт.;13;шт
        Салат Горчица  листовой  (НК)    1 г. ;9;шт
        Салат Ералаш  листовой  (Гавриш)    1 г. ;11;шт
        Салат Забава краснолистный  лист.  (Гавриш)    1 г. ;9;шт
        Салат Король рынка кочанный 2 г. ;9;шт
        Салат Кресс 2 г. ;9;шт
        Салат Лолло Росса листовой  1 г. ;9;шт
        Салат Чудо 4-х сезонов  кочанный 2 г. ;9;шт
        Салат Эконом листовой Смесь 1 г. ;9;шт
        Свёкла Бордо-237  NEW  200%  (НК)  5 г.;10;шт
        Свёкла Детройтская   NEW  200%    5 г.;10;шт
"        Свёкла Кормовая Красная ""Кольчуга""   4 г.";6;шт
        Свёкла Красный шар   NEW  200%    5 г.;10;шт
        Свёкла Цилиндра   NEW  200%  (НК)  5 г.;11;шт
        Сельдерей корневой Грибовский  NEW  200 %  1 г.;10;шт
        Сельдерей листовой Яблочный NEW  200 %  1 г.;9;шт
        Сельдерей черешковый Сочный 500шт.;12;шт
        Сидерат Фацелия (Чародей)   100 г.;50;упак
"        Укроп  Кибрай ""Кольчуга""  2 г.";5;шт
        Укроп  Кустовой Русский Размер 200 шт.;13;шт
        Укроп  Лесногородской  (НК) 3 г.;8;шт
        Укроп  Супердукат  OF NEW   200%   (НК)  5  г.;9;шт
        Укроп Гренадёр (ГАВРИШ) 2 г.;9;шт
        Укроп Грибовский NEW  200%  5 г.;9;шт
